number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),E_refine(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
11,CHEMBL1088916,1,-60.48336,-3.8742352,1.2081828,-13.318212,-34.835915,-110.22339,1.2073697,-13.318212,-34.835587,-22.939039,1.2105132,-13.318212,-34.839569,-7.1162758,1.200578,-12.761441,-37.304188,-13.414636,1.2076652,-13.318212,-34.837017,13.5969,0.7201,31.3737,-2.8832,-27.3788,61.2059,2,-56.8518,1.1645,-7.7515,-2.136,-48.7925,0.2599,32.6084,34.112,0.0472,1.4564,-170.56,26.918,0.1766,1.1551,-28.2496,2.8672,173.1414,2.7595,-6.853,-0.245,-0.743,-1.582,-6.853,-2.157,-0.258,-0.821,-34.196,-18.796,1.077,-0.164,-85.891,-52.992,5.538
12,CHEMBL1088916,1,-78.514053,-4.7291002,3.8565948,-12.548145,-36.023335,-114.90168,3.8556793,-12.548145,-36.023712,-17.898851,3.8546829,-12.548145,-36.020763,-6.5084715,3.8519971,-11.6305,-37.731522,-12.504545,3.8547082,-12.548145,-36.020264,10.1042,8.8117,32.3205,-9.4438,-33.7045,52.4573,2,-48.9628,1.5784,-7.9389,-1,-42.0086,0.1945,36.1226,39.01,0.4662,2.4212,-195.05,26.124,0.0595,2.019,-28.2024,1.9645,198.5076,2.7595,-7.699,-0.275,-0.835,-1.777,-7.699,-2.181,-0.387,-0.821,-31.082,-23.759,1.077,-0.269,-91.893,-54.84,6.03
13,CHEMBL1088916,1,-92.041954,-5.6398349,8.8636351,-14.550974,-33.286907,-113.26265,8.8647499,-14.550974,-33.288425,-17.425209,8.8609896,-14.550974,-33.297306,-6.8932581,8.1978455,-12.292232,-33.732613,-14.426618,8.896987,-14.550974,-33.308418,18.3854,6,39.6624,-5.0827,-37.0677,69.9444,1,-67.0746,0.4076,-8.43,-2,-58.136,0.2287,33.1468,34.23,0.0251,1.0582,-171.15,27.5573,0.0419,0.6397,-28.2389,2.8218,174.6008,2.7712,-6.7,-0.239,-0.727,-1.546,-6.7,-1.41,-0.428,-1.176,-30.247,-21.072,1.077,-0.09,-81.517,-51.318,8.263
14,CHEMBL1088916,1,-77.053894,-4.1572127,30.279264,-12.069446,-35.911324,-83.769279,30.285234,-12.069446,-35.912128,-20.793119,30.28367,-12.069446,-35.913609,-6.8132091,30.22827,-11.56934,-36.367634,-11.68035,30.284218,-12.069446,-35.920261,20.9402,8.6276,30.6955,-5.4023,-24.4914,63.9572,2.704,-56.6178,0.765,-8.1224,-2.01,-47.1477,0.2065,29.523,31.43,0.2881,1.619,-157.15,26.1279,0.4755,1.028,-27.6314,2.885,165.6964,2.684,-6.473,-0.231,-0.702,-1.494,-6.473,-1.972,-0.454,-0.87,-33.657,-15.572,1.082,-0.24,-72.772,-49.229,7.925
15,CHEMBL1088916,1,-115.15799,-5.557301,-4.5086994,-11.866871,-41.872871,-124.73457,-4.5125685,-11.866871,-41.872833,-23.463957,-4.5085926,-11.866871,-41.874603,-7.0665159,-4.4953308,-15.612192,-42.795521,-11.847527,-4.5095716,-11.866871,-41.87429,20.1516,8.5793,30.1901,-5.4902,-24.4487,55.3074,3,-49.0156,1.6447,-2.0729,-5.2707,-43.4234,0.2774,36.1627,40.324,2.0175,2.1438,-201.62,30.673,2.0529,1.7791,-34.505,2.5454,236.0489,2.7712,-6.815,-0.243,-0.739,-1.573,-6.815,-1.983,-0.36,-0.821,-33.104,-19.017,1.077,-0.22,-82.067,-52.12,10.899
16,CHEMBL1088916,1,-88.470184,-4.8922553,27.835886,-10.525921,-33.55328,-99.050308,27.838675,-10.525921,-33.554585,-22.590475,27.835577,-10.525921,-33.579056,-6.8828354,28.267496,-11.703356,-35.131107,-11.277007,27.837502,-10.525921,-33.572243,25.9573,9.6172,32.0042,-6.8315,-20.8342,62.1602,2.336,-55.5084,0.6382,-8.0357,-2.2122,-46.2669,0.4218,34.9403,36.644,0.2878,1.416,-183.22,26.2847,0.1847,0.8109,-27.2804,1.1092,213.3898,2.684,-6.526,-0.233,-0.708,-1.506,-6.526,-1.983,-0.36,-0.828,-30.291,-17.87,1.082,-0.242,-69.743,-48.161,12.668
17,CHEMBL1089434,1,-85.223015,-7.894712,25.423733,-11.186313,-27.360222,-133.97235,25.422283,-11.186313,-27.356236,-19.563492,25.425663,-11.186313,-27.363533,-8.0021658,25.044971,-11.99598,-30.715757,-11.308177,25.426603,-11.186313,-27.363831,27.7668,0.7712,43.4862,-4.8031,-27.9948,70.5581,0.992,-68.9425,1.15,-10.0564,-1,-59.2481,0.3479,38.9711,41.698,1.4391,1.2878,-208.49,27.9716,1.4354,0.8407,-30.2476,0.9326,235.0829,2.286,-7.678,-0.208,-0.691,-1.665,-7.678,-2.596,-0.458,-0.064,-49.387,-16.632,0.676,-0.272,-105.661,-66.019,10.292
18,CHEMBL1089434,1,-111.84354,-6.0228176,71.364708,-12.203047,-38.497883,-172.67155,71.377838,-12.203047,-38.483162,-27.610653,71.376869,-12.203047,-38.482826,-7.8862138,71.452042,-10.641583,-40.379612,-12.207883,71.405693,-12.203047,-38.477982,16.0992,0,46.2494,-4.7584,-42.7353,75.9306,0,-78.3743,2.234,-3.3923,-0.1694,-75.3004,0.4334,40.0894,43.272,1.7482,1.4344,-216.36,29.6651,0.7898,0.8453,-31.3002,1.0605,238.6698,2.2056,-7.688,-0.208,-0.692,-1.667,-7.688,-2.899,-0.36,-0.071,-48.207,-16.036,0.679,-0.221,-97.686,-64.243,9.896
19,CHEMBL1089434,1,-78.566803,-5.7502828,37.947376,-13.491951,-44.286625,-167.16151,37.937214,-13.491951,-44.282936,-25.145025,37.941639,-13.491951,-44.281937,-8.2694759,38.073921,-11.970222,-45.103439,-13.480142,37.93874,-13.491951,-44.283848,22.8061,1.1086,34.5569,-3.4139,-22.4043,61.3438,1,-59.0274,1.3422,-9.3156,-1,-49.7503,0.1705,35.3759,41.222,2.3592,3.4868,-206.11,31.0081,2.3592,2.2887,-35.656,1.9959,250.9567,2.286,-6.485,-0.175,-0.584,-1.407,-6.485,-1.646,-0.2,-0.212,-44.332,-18.256,0.676,-0.148,-97.819,-62.588,2.893
20,CHEMBL1089434,1,-78.701302,-4.7014132,68.150688,-11.953737,-40.249153,-147.56644,68.149246,-11.953737,-40.248341,-23.630154,68.15023,-11.953737,-40.249134,-7.9353895,68.105682,-11.578283,-42.234905,-11.907202,68.150597,-11.953737,-40.248493,35.5426,9.0673,37.8366,-4.3716,-21.1784,74.714,2.9516,-65.1819,2.0278,-8.6226,-2.5852,-54.5687,0.693,35.4942,38.758,0.7256,2.5383,-193.79,28.1269,0.7747,2.1238,-31.0255,0.969,238.9354,2.2056,-6.748,-0.182,-0.608,-1.464,-6.748,-2.061,-0.36,-0.071,-46.656,-15.679,0.679,-0.25,-90.376,-62.335,9.35
21,CHEMBL1089844,1,-83.275719,-3.1380482,-34.261883,-11.43795,-34.081615,-89.636002,-34.265312,-11.43795,-34.079163,-17.403196,-34.271431,-11.43795,-34.067772,-6.1748819,-37.361629,-12.41919,-32.634037,-11.874556,-34.254745,-11.43795,-34.08749,27.5911,10.21,29.0764,-3.1813,-19.4176,62.3514,4.4122,-50.6337,1.0165,-6.5505,-3,-43.0621,0.1209,34.2753,37.178,0.5245,2.3782,-185.89,26.6675,1.7717,1.684,-30.1231,1.9768,203.3387,2.2461,-6.906,-0.266,-0.787,-1.622,-6.906,-1.929,-0.428,-1.026,-31.9,-17.175,0.936,-0.288,-81.233,-49.075,4.859
22,CHEMBL1089844,1,-89.133812,-4.3941436,8.982935,-11.635139,-27.154087,-116.8958,8.9841938,-11.635139,-27.152311,-21.901136,8.9867649,-11.635139,-27.153927,-6.6438837,9.0431528,-11.188225,-30.273106,-11.622373,8.982729,-11.635139,-27.15642,7.2557,13.5352,29.7736,-3.0571,-44.1612,62.5433,3.864,-52.7295,1.3295,-6.8689,-3,-44.1589,0.2777,29.5134,30.7,0.0525,1.1341,-153.5,24.3654,0.1417,0.7219,-25.2289,1.9211,161.7239,2.1833,-6.315,-0.243,-0.72,-1.483,-6.315,-2.108,-0.16,-1.088,-28.735,-15.139,0.941,-0.192,-66.039,-43.874,4.5
23,CHEMBL1089844,1,-81.218758,-4.1324964,-28.636381,-11.497519,-38.123405,-107.80666,-28.646282,-11.497519,-38.119911,-16.775543,-28.619221,-11.497519,-38.133091,-6.0880885,-28.341373,-11.964502,-39.827988,-11.450648,-28.646507,-11.497519,-38.12421,-93.6394,5.4822,31.4607,-3.4843,-138.8957,56.2671,3.1197,-55.3834,1.5006,-7.9101,-2.7398,-45.2792,0.1716,33.2021,34.802,0.3625,1.2374,-174.01,27.3738,0.091,1.1479,-28.6127,1.9564,191.0096,2.2461,-6.848,-0.263,-0.78,-1.608,-6.848,-2.007,-0.327,-1.026,-28.997,-18.469,0.936,-0.203,-77.718,-47.466,5.1
24,CHEMBL1089844,1,-92.526657,-4.2197175,0.082096152,-10.21938,-29.969307,-92.531647,0.084179737,-10.21938,-29.976992,-19.578724,0.08308991,-10.21938,-29.967873,-6.4135275,0.32293767,-11.113818,-30.318209,-10.159379,0.075939134,-10.21938,-29.961876,21.6363,2.0642,31.3512,-3.6879,-19.8479,60.3775,2.8736,-51.1955,0.8613,-6.9049,-2,-43.5095,0.1576,30.6216,34.512,2.6219,1.2685,-172.56,26.9526,2.4129,0.9126,-30.2781,1.9951,202.767,2.1833,-6.387,-0.246,-0.728,-1.5,-6.387,-1.94,-0.295,-1.202,-32.808,-13.887,0.941,-0.167,-67.191,-46.695,10.134
25,CHEMBL1089845,1,-72.307892,-3.5685828,-32.868294,-12.691379,-35.05756,-83.249359,-32.863533,-12.691379,-35.062588,-15.311975,-32.859158,-12.691379,-35.056297,-5.9593759,-33.280594,-13.244322,-36.306202,-12.617153,-32.867435,-12.691379,-35.061783,22.7763,10.6148,25.6294,-4.7046,-18.3745,61.6114,3.5892,-51.6053,0.5265,-5.3858,-2.9092,-44.074,0.2206,32.1862,33.618,0.165,1.2667,-168.09,26.896,0.6853,1.1306,-28.7118,2.9009,164.8946,2.2461,-7.046,-0.271,-0.803,-1.655,-7.046,-1.919,-0.409,-1.026,-31.321,-18.578,0.936,-0.275,-82.124,-49.899,6.226
26,CHEMBL1089845,1,-98.855003,-2.7163348,5.1157889,-10.931087,-37.642841,-112.17038,5.1124477,-10.931087,-37.634346,-16.626286,5.1118693,-10.931087,-37.636688,-6.6440177,5.2432032,-10.947267,-39.466022,-10.906969,5.1142812,-10.931087,-37.641087,21.4468,8.9997,26.6635,-5.3288,-18.8865,62.1222,3,-53.877,0.6329,-5.9808,-3,-45.5353,0.2855,34.5333,37.594,0.5174,2.5433,-187.97,25.579,0.6979,1.9889,-28.2658,1.6792,194.5856,2.1833,-6.159,-0.237,-0.702,-1.446,-6.159,-2.07,-0.344,-1.033,-32.059,-12.19,0.941,-0.221,-67.097,-44.249,2.962
27,CHEMBL1089845,1,-97.852608,-3.9855011,-30.471476,-13.564174,-38.692204,-143.53806,-30.47024,-13.564174,-38.69812,-16.286898,-30.467524,-13.564174,-38.707516,-6.1865177,-30.829138,-14.963336,-37.495872,-13.492588,-30.471321,-13.564174,-38.698032,36.1081,10.4463,32.0419,-3.632,-14.7638,57.8694,2.299,-51.5732,0.4334,-7.2322,-1.5672,-42.9398,0.0329,31.2447,33.976,1.4583,1.2731,-169.88,30.1708,1.607,0.9001,-32.678,2.8805,199.3768,2.2461,-6.946,-0.267,-0.791,-1.631,-6.946,-1.322,-0.33,-1.358,-25.144,-22.897,0.936,-0.18,-80.489,-48.04,4.411
28,CHEMBL1089845,1,-98.484322,-3.4606566,9.4763699,-12.756943,-30.966068,-103.00598,9.4775085,-12.756943,-30.968658,-15.940259,9.4795904,-12.756943,-30.969633,-6.1705971,9.6147013,-13.043041,-30.358822,-12.793951,9.4740162,-12.756943,-30.964266,31.4702,10,30.7357,-2.9728,-17.8186,55.0852,2.768,-48.4153,0.8769,-3.0446,-1.661,-43.9043,0.3097,28.9017,31.888,0.7402,2.2461,-159.44,24.0794,0.864,1.8895,-26.833,1.9479,174.6699,2.1833,-6.716,-0.258,-0.765,-1.577,-6.716,-1.851,-0.321,-1.033,-30.582,-18.09,0.941,-0.208,-74.913,-48.673,3.676
29,CHEMBL1089846,1,-99.009666,-3.2102432,-36.574711,-14.307778,-26.140274,-120.49283,-36.569374,-14.307778,-26.158688,-18.243593,-36.573444,-14.307778,-26.154335,-6.840735,-36.384087,-12.330727,-28.845249,-14.263431,-36.570904,-14.307778,-26.155586,40.4684,10.8937,34.2708,-2.3837,-15.164,65.779,4.624,-54.8948,1.5308,-3.8748,-3.2752,-49.0997,0.3521,35.5509,38.726,0.5061,2.669,-193.63,29.2509,0.2947,2.469,-32.0145,1.9566,207.7837,1.6841,-7.551,-0.29,-0.86,-1.773,-7.551,-2.213,-0.36,-1.093,-27.936,-21.222,0.946,-0.25,-86.303,-49.158,2.562
30,CHEMBL1089846,1,-79.191437,-4.0237713,1.2665849,-11.134073,-29.298027,-107.15869,1.2676755,-11.134073,-29.295797,-16.618893,1.2692895,-11.134073,-29.308048,-6.58987,1.1544478,-10.590225,-29.641064,-11.195662,1.2705055,-11.134073,-29.308537,29.9706,4.4041,30.3361,-3.112,-13.0336,63.3906,3.3006,-53.128,1.2619,-5.5565,-2.904,-45.2013,0.7303,32.8931,35.292,1.4151,0.9839,-176.46,27.7723,1.5522,0.9019,-30.2263,0.9997,218.8861,1.6415,-6.792,-0.261,-0.774,-1.595,-6.792,-2.1,-0.302,-1.047,-32.707,-16.321,0.95,-0.21,-74.326,-49.028,3.716
31,CHEMBL1089846,1,-60.144402,-3.5040011,-21.188381,-11.745573,-30.26293,-108.10562,-21.188004,-11.745573,-30.268885,-17.736322,-21.194452,-11.745573,-30.262865,-6.390409,-21.413857,-12.800384,-32.974808,-11.810922,-21.187239,-11.745573,-30.267525,29.0583,4.6183,30.48,-2.4538,-15.0163,57.1364,2,-53.686,1.3582,-7.3261,-1.2292,-45.1953,0.0647,36.1896,38.898,0.1512,2.5573,-194.49,30.8706,0.2628,2.4397,-33.5731,1.9305,221.85,1.6841,-6.61,-0.254,-0.753,-1.552,-6.61,-1.068,-0.36,-1.04,-26.56,-23.559,0.946,-0.225,-80.619,-50.119,6.592
32,CHEMBL1089846,1,-98.513519,-3.1101067,7.9130569,-11.091371,-28.212206,-88.448647,7.9101138,-11.091371,-28.21179,-15.31028,7.9131722,-11.091371,-28.213602,-6.1813593,7.9057994,-10.595449,-30.336737,-11.182159,7.9114656,-11.091371,-28.21254,28.8306,10.3186,26.4596,-2.3387,-15.5312,59.8264,2.4875,-50.257,0.4876,-6.9359,-1.9419,-41.9732,0.1537,33.3157,34.902,0.4879,1.0984,-174.51,28.575,0.2708,1.0004,-29.8462,1.9913,187.3309,1.6415,-6.476,-0.249,-0.738,-1.521,-6.476,-1.932,-0.36,-1.104,-30.493,-15.252,0.95,-0.218,-69.398,-45.746,4.477
33,CHEMBL1091591,1,-79.854614,-5.0504179,30.326849,-12.89708,-40.90649,-106.36018,30.329712,-12.89708,-40.905155,-21.305155,30.329252,-12.89708,-40.905273,-6.5597835,30.299349,-13.553734,-41.611736,-12.912112,30.328444,-12.89708,-40.906742,-21.4516,0.5708,37.1992,-2.0615,-71.1098,65.5149,1.44,-61.9574,0.505,-7.8012,-2,-54.325,0.1768,32.413,35.534,1.1339,1.9871,-177.67,30.5854,1.253,1.9409,-33.7793,1.8199,220.6812,1.4058,-7.352,-0.254,-0.779,-1.683,-7.352,-2.116,-0.2,-1.069,-33.308,-17.456,0.507,-0.19,-91.271,-50.764,3.953
34,CHEMBL1091591,1,-79.734818,-3.6328287,66.166077,-12.272679,-44.100613,-105.94296,66.167145,-12.272679,-44.099731,-22.086374,66.168686,-12.272679,-44.100163,-6.2745104,66.367317,-12.002723,-43.571068,-12.226829,66.16658,-12.272679,-44.100201,28.0114,10,30.1258,-2.0121,-21.3994,56.2153,2,-51.8416,0.835,-7.337,-1.8835,-44.0251,0.1295,39.4038,43.444,0.4051,3.6351,-217.22,28.2293,0.0982,3.4662,-31.7937,1.5155,211.3115,1.3561,-6.996,-0.241,-0.741,-1.602,-6.996,-2.169,-0.202,-0.97,-33.482,-15.188,0.509,-0.212,-81.988,-48.67,2.775
35,CHEMBL1091591,1,-89.23027,-3.9661479,38.082027,-12.930511,-36.876133,-120.52095,38.081303,-12.930511,-36.870335,-23.021917,38.092098,-12.930511,-36.892879,-6.2858067,37.980255,-13.64231,-38.694199,-12.888609,38.090492,-12.930511,-36.89127,33.8576,9.7368,32.7734,-1.7472,-19.1955,68.6279,3.984,-57.8892,0.6432,-8.7546,-2,-50.3189,2.0819,38.6738,43.158,1.7622,2.722,-215.79,29.2134,1.8166,2.2714,-33.3014,2.2527,204.2399,1.4058,-6.981,-0.241,-0.74,-1.598,-6.981,-0.937,-0.493,-0.865,-30.668,-22.641,0.507,-0.264,-94.823,-53.309,5.5
36,CHEMBL1091591,1,-61.469006,-3.7142296,75.13147,-12.933816,-34.959438,-102.09375,75.131569,-12.933816,-34.959663,-17.249949,75.131989,-12.933816,-34.959774,-6.7330222,75.112053,-12.2651,-35.14534,-12.931333,75.130936,-12.933816,-34.959774,6.9536,3.9237,32.8175,-2.0244,-40.0698,58.8878,2,-54.1761,0.6881,-6.7433,-1.2171,-48.1599,0.0965,30.6444,37.874,6.4058,0.8237,-189.37,26.3161,6.1487,0.7962,-33.2609,0.795,244.4215,1.3561,-6.584,-0.227,-0.698,-1.508,-6.584,-1.5,-0.2,-1.033,-33.7,-16.743,0.509,-0.164,-80.023,-50.443,5.693
37,CHEMBL1091591,1,-98.379982,-3.8339093,37.334412,-13.600924,-33.246407,-112.56863,37.334156,-13.600924,-33.242729,-20.009077,37.326679,-13.600924,-33.237751,-7.0413527,37.33242,-11.868989,-35.231251,-13.713497,37.335987,-13.600924,-33.244442,-14.9079,0,41.1367,-1.9587,-69.5122,56.9591,0,-64.0782,0.2524,-8.837,-0.3015,-57.2615,0.3758,34.0665,35.366,0.0272,1.2723,-176.83,27.6803,0.2173,1.1774,-29.075,1.1397,199.1639,1.3726,-5.998,-0.207,-0.635,-1.373,-5.998,-1.684,-0.056,-0.96,-33.414,-13.469,0.509,-0.116,-71.45,-46.883,3.765
38,CHEMBL1091591,1,-95.124519,-3.8735085,74.090927,-11.573005,-37.140976,-117.72417,74.091156,-11.573005,-37.140369,-21.06724,74.090988,-11.573005,-37.141537,-7.084372,74.211502,-10.53548,-38.091438,-11.559875,74.092064,-11.573005,-37.142002,23.8875,0,39.172,-2.6826,-27.2915,60.0216,0,-61.3898,0.9002,-8.236,0,-56.448,1.0974,29.6555,30.47,0.5831,0.2314,-152.35,26.1249,0.525,0.1232,-26.773,0,210.9294,1.3225,-5.689,-0.196,-0.603,-1.303,-5.689,-1.639,-0.278,-0.987,-32.498,-10.482,0.512,-0.1,-61.629,-42.98,4.504
