number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),E_refine(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
12,108,1,-67.617661,-2.7360408,-69.95253,-9.209446,-25.330702,-97.111427,-69.953476,-9.209446,-25.326757,-12.527108,-69.952003,-9.209446,-25.331331,-5.8212414,-70.109177,-9.6205368,-26.48847,-9.2171698,-69.95089,-9.209446,-25.33157,32.712,7.2849,24.6575,-4.4031,-4.0737,53.8963,4.4009,-40.8085,1.5735,-5.406,-6.8203,-32.0014,0.5189,21.6928,27.074,0.4738,4.9074,-135.37,30.8492,0.1834,1.1518,-32.1844,3.6425,124.2594,0,-7.012,-0.369,-0.985,-1.778,-7.012,-1.367,-0.356,-1.277,-29.937,-19.139,0.557,-0.201,-74.306,-49.076,5.849
13,109,1,-66.625893,-4.1943641,-84.646355,-9.8909636,-27.594805,-88.962868,-84.644135,-9.8909636,-27.595816,-14.129075,-84.644379,-9.8909636,-27.605547,-5.8548908,-84.511688,-11.462603,-29.608343,-10.921375,-198.49884,-10.811314,-30.733322,30.7549,6.3905,22.4038,-5.8962,-0.5446,47.0479,2.0478,-41.3666,1.8225,-2.2156,-3.3481,-36.2771,0.239,16.7349,25.946,2.6925,6.5186,-129.73,29.1052,4.3,1.5137,-34.9188,3.8945,140.4383,0,-7.699,-0.385,-1.045,-1.927,-7.699,-1.618,-0.863,-1.367,-24.364,-19.929,0.386,-0.029,-76.875,-44.293,2.206
14,109,1,-68.202965,-2.88396,-96.632919,-9.777091,-24.76836,-85.086662,-96.631775,-9.777091,-24.769646,-13.307286,-96.632729,-9.777091,-24.768528,-5.7734303,-96.670418,-11.733327,-25.786383,-12.075615,-129.64618,-12.046963,-36.9893,37.7223,16.2498,23.2237,-6.2157,-4.2445,46.1234,2.4675,-39.0394,2.4397,-7.5399,-4.5795,-29.743,1.713,19.8308,28.462,0.0727,8.5585,-142.31,33.5597,0.021,2.9292,-36.5099,5.4412,109.8819,0,-7.234,-0.362,-0.982,-1.81,-7.234,-1.302,-0.689,-1.481,-23.823,-19.391,0.576,-0.238,-70.03,-43.214,1.298
15,110,1,-51.072159,-3.4545929,-82.870277,-10.013225,-27.426598,-88.770897,-82.872246,-10.013225,-27.426664,-14.736352,-82.872833,-10.013225,-27.425499,-5.4557915,-82.682976,-9.7233238,-28.534998,-11.501855,-109.16139,-11.447807,-41.419029,33.7842,13.3273,23.2398,-11.791,0.2932,47.8337,3.4545,-39.345,2.4404,-5.8483,-4.4108,-31.0939,1.2778,18.215,23.182,0.1988,4.7682,-115.91,30.2773,0.3045,0.3498,-30.9317,3.618,114.2539,0,-5.967,-0.314,-0.838,-1.513,-5.967,-0.852,-0.448,-2.152,-25.618,-11.42,0.5,-0.021,-55.699,-37.038,1.978
16,111,1,-80.067169,-4.6585464,-74.355682,-10.302545,-28.91188,-84.289597,-74.355873,-10.302545,-28.918909,-11.422947,-74.355194,-10.302545,-28.914936,-5.754426,-74.456367,-10.932689,-30.389816,-12.199823,-111.25828,-12.13821,-37.18261,48.5145,13.1218,28.0077,-4.81,1.6921,63.3273,4.9175,-49.1203,1.866,-2.9518,-7.3224,-40.6908,0.5104,22.83,26.804,0.113,3.861,-134.02,32.0146,0.1311,1.4028,-33.5485,5.3961,113.0889,1.2444,-7.161,-0.377,-1.006,-1.816,-7.161,-1.208,-0.623,-1.472,-25.407,-19.614,0.626,-0.271,-72.633,-45.021,0.831
17,112,1,-52.662186,-5.8468027,-61.174412,-10.52227,-34.231159,-101.50204,-61.175426,-10.52227,-34.232182,-11.073741,-61.175354,-10.52227,-34.232498,-5.7954545,-61.13134,-11.898866,-36.136333,-12.492849,-112.12607,-12.54045,-34.538082,53.9051,23.3786,26.546,-3.8797,-2.0945,51.1383,5,-36.4777,1.2201,-7.0864,-5,-27.6832,1.6909,14.9966,23.27,4.2952,3.9781,-116.35,28.8562,3.9653,1.205,-34.0266,3.9103,132.3613,0,-7.813,-0.411,-1.097,-1.981,-7.813,-1.051,-0.827,-1.027,-25.081,-25.983,0.296,-0.052,-88.056,-51.064,0.435
18,113,1,-60.622414,-3.3865571,-147.45363,-10.580197,-32.202965,-93.947449,-147.45822,-10.580197,-32.184502,-11.235226,-147.46123,-10.580197,-32.182487,-5.7455807,-147.60013,-12.711011,-32.144527,-12.409286,-107.28159,-12.455336,-33.474716,-6.2002,8.1462,25.4168,-9.7127,-39.5817,54.1009,6.608,-44.0443,3.1214,-6.5767,-6.6415,-31.4147,0.3794,24.1616,30.678,0.0188,6.4976,-153.39,35.7243,0.0044,2.4919,-38.2205,6.7238,87.8905,0,-7.463,-0.355,-0.98,-1.845,-7.463,-1.339,-0.613,-1.312,-26.833,-20.805,0.531,-0.267,-83.117,-47.638,0.791
19,113,1,-72.05172,-5.4091458,-127.90591,-13.183578,-32.938766,-101.00905,-127.91345,-13.183578,-32.93858,-12.155483,-127.91279,-13.183578,-32.930363,-5.9119515,-128.35332,-12.920035,-33.156822,-12.509961,-108.63812,-12.547519,-38.121727,34.0855,16.1646,19.9757,-9.5416,-0.0042,52.023,5.6503,-38.1866,2.613,-2.9896,-5.538,-30.0748,0.2516,19.5802,25.862,1.2916,4.9902,-129.31,29.5296,2.3045,1.8171,-33.6513,4.7085,106.3656,0,-8.154,-0.388,-1.071,-2.016,-8.154,-1.425,-0.921,-1.326,-25.753,-23.403,0.356,-0.041,-89.858,-49.157,1.406
20,114,1,-56.648075,-4.8554974,-120.06162,-13.525425,-44.345058,-91.02372,-120.06102,-13.525425,-44.344856,-10.986885,-120.06085,-13.525425,-44.347034,-6.0855923,-120.1306,-11.735227,-45.805958,-9.4064169,6.8634324,-9.373848,-28.195734,53.9334,24.3435,26.7783,-5.1136,-2.1165,57.4041,5.608,-41.7836,1.7045,-6.9204,-6,-31.7712,1.4023,20.9516,25.78,0.3606,4.4678,-128.9,29.0742,0.3021,1.8459,-31.2222,3.8802,109.2504,0,-8.079,-0.385,-1.061,-1.997,-8.079,-0.893,-0.859,-1.414,-24.335,-27.389,0.356,-0.052,-94.144,-51.724,1.407
21,115,1,-81.198929,-5.0824656,-139.22441,-10.771941,-34.8022,-94.404076,-139.21271,-10.771941,-34.81311,-12.335988,-139.21272,-10.771941,-34.813107,-5.7819133,-139.23999,-14.198069,-36.477501,-9.4448347,-100.49075,-9.4792767,-31.310654,36.6279,12.7425,22.5524,-6.0501,-1.074,50.7083,3.5481,-41.8212,1.9693,-6.4203,-5.6745,-31.543,0.4583,20.0034,25.878,0.3195,5.5551,-129.39,27.9567,1.4913,1.5348,-30.9829,3.8547,107.9329,0,-8.345,-0.379,-1.063,-2.04,-8.345,-1.188,-0.996,-1.084,-26.512,-30.028,0.298,-0.05,-100.621,-56.54,1.767
22,116,1,-63.03096,-4.7369652,-144.3869,-10.761418,-27.344252,-128.53758,-144.38681,-10.761418,-27.346159,-13.747585,-144.38834,-10.761418,-27.344913,-5.9229918,-144.37793,-12.81106,-28.070841,-8.1868258,-16.266378,-8.1658745,-25.993111,18.3757,18.5672,22.7173,-4.3479,-27.08,56.8115,5.6238,-40.7555,2.0171,-9.5599,-5.4391,-26.5498,0.555,18.4086,23.078,0.0021,4.6673,-115.39,22.8229,0.0354,0.92,-23.7784,3.333,83.1288,1,-7.55,-0.343,-0.962,-1.846,-7.55,-1.359,-0.588,-1.221,-27.487,-21.517,0.488,-0.268,-85.447,-49.003,1.068
23,116,1,-99.857445,-3.2669859,-136.99474,-11.001012,-36.372921,-90.06321,-136.98911,-11.001012,-36.381474,-8.9690876,-136.98935,-11.001012,-36.381329,-5.9413605,-136.96097,-16.93119,-37.384445,-9.9135809,64.928253,-9.8853264,-23.3295,36.4465,12.018,22.0281,-7.4227,1.5625,49.612,4.1668,-39.0719,2.0527,-4.5364,-6.6945,-28.6879,0.517,23.4196,26.74,0.1703,3.1501,-133.7,25.878,0.177,0.3482,-26.4032,3.8707,90.2145,1,-8.336,-0.379,-1.062,-2.038,-8.336,-1.156,-0.918,-1.238,-25.991,-28.489,0.327,-0.051,-99.128,-54.48,1.53
24,117,1,-74.272202,-3.7486153,-32.437099,-10.126812,-32.618065,-103.28289,-32.435436,-10.126812,-32.612289,-14.769745,-32.438492,-10.126812,-32.618134,-6.1818256,-32.253574,-11.679588,-34.090088,-8.9051037,-52.269386,-9.1785288,-29.050201,64.4042,26.5296,30.3831,-5.406,1.5038,54.6075,4.2248,-43.6689,1.9199,-7.425,-6.5079,-32.4207,1.1522,22.8936,29.078,2.8828,3.3016,-145.39,32.3518,2.4713,0.629,-35.4521,4.841,117.9771,0,-7.999,-0.381,-1.051,-1.978,-7.999,-0.879,-0.841,-1.413,-25.787,-25.846,0.352,-0.052,-88.69,-51.633,2.349
25,118,1,-63.592327,-5.0661864,-7.7711368,-11.044331,-38.638279,-72.546104,-7.7700129,-11.044331,-38.639156,-10.296864,-7.7703943,-11.044331,-38.639511,-5.92939,-7.8070269,-14.296961,-38.80172,-8.0828218,-105.9767,-8.1177902,-25.309942,56.2818,23.8908,27.5782,-4.3973,-1.1317,53.537,4,-42.8984,1.7825,-8.3815,-5,-31.1164,0.4902,13.6016,18.362,0.0383,4.722,-91.81,30.4914,0.0155,0.512,-31.0188,4.7791,81.8515,0,-7.785,-0.371,-1.023,-1.925,-7.785,-1.464,-0.899,-1.411,-27.345,-19.7,0.352,-0.041,-84.438,-47.046,0.351
26,119,1,-49.556053,-4.0582862,-49.136475,-11.745315,-30.851574,-60.827824,-49.133369,-11.745315,-30.853111,-9.7199936,-49.133312,-11.745315,-30.852827,-5.7122116,-49.22427,-10.748133,-31.437511,-9.0468874,-76.028008,-9.0465698,-21.376345,34.6674,5.6516,23.4348,-2.9335,-0.2736,44.0388,1.96,-38.2867,1.1141,-3.8857,-3,-31.7638,0.2818,21.9658,27.016,1.8723,3.1779,-135.08,31.3363,1.5195,0.2231,-33.0789,3.7465,128.9375,0,-7.998,-0.4,-1.085,-2.002,-7.998,-1.197,-0.826,-1.087,-26.507,-25.466,0.311,-0.052,-89.015,-51.974,1.439
27,120,1,-58.85051,-3.4710429,23.323975,-10.023393,-31.732748,-92.440788,23.325979,-10.023393,-31.733734,-13.709548,23.324968,-10.023393,-31.733738,-6.1173067,23.287411,-9.4148378,-32.382446,-11.611929,-116.88718,-11.643994,-28.950802,39.3962,5.7448,26.5707,-3.1369,0.2535,46.8108,2,-40.9025,1.143,-4.844,-3,-34.246,0.329,13.4857,23.028,5.5658,3.9766,-115.14,25.9681,4.4903,1.3255,-31.7839,3.8537,136.6874,1,-6.762,-0.322,-0.888,-1.672,-6.762,-1.096,-0.813,-1.107,-29.13,-17.876,0.433,-0.041,-63.601,-47.006,5.073
28,121,1,-50.718395,-5.6562996,-39.641193,-10.306183,-29.669264,-98.863503,-39.639343,-10.306183,-29.673923,-12.192118,-39.639538,-10.306183,-29.673428,-5.9851408,-39.646152,-11.204657,-31.208258,-9.5448837,-38.478737,-9.5957546,-23.805334,41.4066,6.7958,30.7891,-3.4549,-4.2693,55.7077,3.7938,-44.5221,1.6252,-5.4133,-7,-34.2886,2.0256,21.5898,25.948,0.2078,4.1504,-129.74,31.0842,0.3072,0.3813,-31.7727,3.7048,118.9624,0,-6.358,-0.303,-0.835,-1.572,-6.358,-1.347,-0.647,-1.499,-28.08,-12.555,0.526,-0.104,-63.735,-40.635,3.245
29,201,1,-83.876907,-4.9824171,-131.22189,-13.183949,-37.620987,-107.86516,-131.22151,-13.183949,-37.621449,-15.604636,-131.22153,-13.183949,-37.62138,-6.3981934,-131.15749,-12.839087,-39.293228,-8.8487453,-122.69662,-8.8714046,-23.674841,44.7979,21.5737,27.6318,-10.631,-4.1385,59.2383,5.3082,-47.6368,2.2913,-8.388,-5.7698,-35.1165,0.5906,23.6778,27.542,1.3829,2.4813,-137.71,23.7617,1.9866,1.0989,-26.8471,4.4846,116.4732,2.8276,-6.678,-0.257,-0.761,-1.568,-6.678,-0.887,-0.628,-1.447,-24.792,-19.042,0.459,-0.079,-71.752,-43.834,4.646
30,202,1,-62.897717,-7.9427943,-109.35513,-14.212605,-24.026274,-127.1449,-109.35666,-14.212605,-24.024677,-17.277504,-109.35537,-14.212605,-24.027439,-6.1020761,-109.45733,-12.743218,-25.367117,-10.061516,25.610174,-10.200418,-22.564095,20.4001,10.8899,26.6706,-3.2443,-23.9176,55.3916,4.392,-43.2016,0.6395,-3.5658,-5.6394,-39.34,5.6262,24.715,30.386,0.0946,5.5764,-151.93,25.1001,0.1706,4.3206,-29.5913,4.8026,113.9238,2.0541,-6.959,-0.278,-0.814,-1.649,-6.959,-0.862,-0.824,-1.934,-29.501,-15.614,0.498,-0.02,-73.633,-45.115,3.213
31,202,1,-62.124245,-4.7782245,-112.44127,-12.976216,-36.435387,-104.41985,-112.44256,-12.976216,-36.430553,-15.500632,-112.44266,-12.976216,-36.428337,-6.2863612,-112.36301,-11.535777,-38.180614,-9.2370481,-310.61496,-8.9552546,-17.015299,33.4457,7.0445,26.9453,-6.8417,-3.8069,56.9635,2.896,-52.2824,2.0965,-8.9896,-3,-41.4738,0.2766,21.4782,25.938,2.895,1.5648,-129.69,24.1011,2.895,0.1208,-27.1169,3.9848,116.1206,2.0541,-6.433,-0.257,-0.752,-1.525,-6.433,-0.899,-0.544,-1.546,-29.761,-16.231,0.498,-0.019,-72.584,-45.993,1.619
32,203,1,-75.366936,-6.6924572,-138.05569,-13.033569,-36.199387,-137.74542,-138.05565,-13.033569,-36.199203,-14.942948,-138.05539,-13.033569,-36.19862,-6.0311956,-138.02705,-13.493834,-37.173195,-8.9759302,-18.445711,-8.9788542,-25.304911,39.2782,9.9637,24.0225,-2.8476,-0.8689,54.4449,3.864,-43.5605,0.5099,-7.2211,-7.1456,-33.2704,3.6595,25.661,28.498,0.3629,2.4741,-142.49,24.5923,0.0715,0.9911,-25.6549,4.5569,104.2192,2.8276,-6.385,-0.246,-0.728,-1.5,-6.385,-0.546,-0.931,-1.132,-20.666,-20.708,0.459,-0.095,-69.335,-41.374,3.096
33,205,1,-55.447796,-4.0734634,-49.153309,-10.651846,-31.0509,-85.968117,-49.153446,-10.651846,-31.051329,-16.266039,-49.152122,-10.651846,-31.051411,-5.8530841,-49.167526,-10.666486,-32.63596,-9.5376358,-86.734497,-9.5231314,-25.831533,37.9974,9.344,22.1381,-2.0797,0.2932,51.9201,3,-43.5298,0.3433,-5.546,-4,-34.5448,0.8779,23.5522,25.448,0.2175,1.6783,-127.24,21.5515,0.1554,0.2657,-21.9726,2.4335,113.0687,1.9001,-5.594,-0.254,-0.712,-1.367,-5.594,-0.725,-0.331,-1.905,-26.377,-12.541,0.633,-0.066,-58.025,-38.918,1.83
34,205,1,-82.391998,-5.1069374,-47.861206,-10.989202,-32.563633,-105.63682,-47.857098,-10.989202,-32.565586,-15.588771,-47.859947,-10.989202,-32.562645,-5.7021699,-47.782204,-10.636868,-33.37516,-9.3396759,-136.45818,-9.3659678,-21.724499,26.5758,6.6646,23.758,-3.9078,-8.8482,52.4412,2.2074,-48.6644,1.4687,-7.5893,-3,-38.6416,0.3223,19.0807,21.078,0.0063,1.991,-105.39,21.747,0.0682,0.8625,-22.6777,2.9325,104.8497,1.9001,-5.623,-0.256,-0.716,-1.374,-5.623,-0.767,-0.525,-1.742,-27.216,-12.317,0.633,-0.015,-57.283,-39.532,2.595
35,206,1,-71.499969,-4.4274535,-91.452858,-10.89855,-31.616457,-111.06761,-91.451706,-10.89855,-31.613867,-14.950193,-91.454849,-10.89855,-31.612041,-5.8840375,-90.888832,-11.558722,-33.100956,-9.1085539,-220.26523,-9.1479187,-26.729532,34.3521,7.0392,27.9497,-4.5522,-6.5658,61.1135,4.6127,-48.2218,0.4794,-7.526,-6.1305,-35.9491,0.5576,29.8131,30.71,0.0659,0.8311,-153.55,29.802,0.1081,0.7499,-30.66,4.7702,124.4847,2.077,-7.063,-0.307,-0.873,-1.708,-7.063,-1.217,-1.163,-1.768,-29.191,-13.445,0.577,-0.016,-66.343,-42.635,3.924
36,207,1,-57.658703,-4.2998176,-53.122059,-11.722494,-34.224995,-114.26495,-53.122684,-11.722494,-34.223766,-15.103201,-53.12159,-11.722494,-34.232048,-6.6506653,-53.074383,-11.742162,-34.501244,-8.1036835,-108.59956,-8.123188,-25.855312,13.2064,3.5808,30.4857,-2.2633,-30.0291,52.7934,1.9565,-49.206,0.6513,-8.3467,-3.9042,-37.961,0.1582,27.3959,30.35,0.304,2.6501,-151.75,23.0548,0.3186,1.5489,-24.9223,1.9349,156.8998,2.1006,-5.809,-0.182,-0.576,-1.301,-5.809,-1.074,-0.865,-1.023,-35.662,-10.669,0.548,-0.011,-67.268,-46.331,2.591
37,208,1,-59.661449,-4.454617,-198.49918,-10.811314,-30.734028,-84.698624,-198.49922,-10.811314,-30.736126,-15.081897,-198.49918,-10.811314,-30.732443,-6.4222674,-198.41722,-11.848598,-31.296633,-9.8421049,-84.644447,-9.8909636,-27.596321,18.731,7.1082,22.688,-10.4414,-9.1319,54.6525,4.816,-43.8416,2.1025,-7.7231,-3.9781,-33.9037,0.7923,23.7521,29.07,1.8606,3.4573,-145.35,27.8296,3.0262,1.6542,-32.51,5.7348,118.1292,2.3225,-7.972,-0.266,-0.826,-1.811,-7.972,-1.877,-0.463,-1.67,-33.625,-17.477,0.341,0,-84.64,-51.102,8.089
38,210,1,-68.612305,-5.0509953,-129.64613,-12.046963,-36.989597,-141.27298,-129.64636,-12.046963,-36.988552,-16.04677,-129.64621,-12.046963,-36.988525,-6.4082623,-129.54176,-12.862444,-36.724697,-9.7398643,-96.633347,-9.777091,-24.767796,43.6365,8.6308,27.181,-3.8875,1.5192,53.6339,4,-39.3439,0.3775,-8.3399,-5,-27.1811,0.5089,27.1122,30.754,0.194,3.4479,-153.77,23.2036,1.7905,2.1504,-27.1444,4.0423,117.4381,2.1785,-7.102,-0.254,-0.77,-1.639,-7.102,-1.074,-0.802,-1.672,-33.156,-15.199,0.41,-0.027,-78.305,-48.356,4.658
39,211,1,-80.424927,-4.7499728,-109.16779,-11.447807,-41.403622,-137.13174,-109.16176,-11.447807,-41.42189,-17.452986,-109.15895,-11.447807,-41.423889,-6.2574363,-108.92451,-11.506615,-40.900383,-9.9928808,-82.870911,-10.013225,-27.426859,24.0108,9.3959,27.7231,-2.4534,-21.0508,48.4249,1.4883,-44.6009,0.3457,-4.3965,-2.9743,-39.3925,0.3859,25.4608,30.256,1.7315,3.0637,-151.28,25.4746,2.0379,1.365,-28.8775,3.4636,145.432,2.0259,-7.525,-0.259,-0.797,-1.723,-7.525,-1.13,-0.94,-1.621,-33.077,-17.013,0.389,-0.018,-82.441,-50.09,3.555
