Number,Label,Name,minimizedAffinity,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf_ahb,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
11,1,CHEMBL1092324,-8.807,-5.424,-0.181,-0.562,-1.232,-5.424,-1.571,-0.248,-0.6920000000000001,-34.925,-10.755999999999998,0.617,-0.16899999999999998,-66.12100000000001,-45.681,5.95,51.6696,6.9006,38.283,-3.3139,-4.5562,68.4434,3.0898,-60.7863,1.1815,-6.1817,-3.0,-52.2611,0.0645,35.4537,37.146,0.3245,1.3677,-185.73,29.7212,0.2258,1.2052,-31.1522,1.524,220.7617,2.0497,-94.72223699999999,-6.6964297,22.138780999999998,-10.824086,-35.549351,-21.241198999999998,22.202552999999998,-11.538438000000001,-33.00412,-4.913297200000001,22.202552999999998,-11.538438000000001,-33.00412,-119.60118999999999,22.202552999999998,-11.538438000000001,-33.00412,-11.565135,22.202552999999998,-11.538438000000001,-33.00412
12,1,CHEMBL1092596,-7.02,-5.4,-0.2,-0.6,-1.257,-5.4,-1.202,-0.184,-0.965,-35.213,-13.941,1.013,-0.209,-69.615,-49.154,4.428,42.8818,8.998,37.1143,-6.6073,-10.5411,64.8399,2.6482,-60.3823,2.2244,-5.2842,-3.0,-53.9833,0.2439,34.4624,36.258,0.1648,1.6307,-181.29,30.425,0.4535,1.0841,-31.9626,2.8923,199.4695,2.5451,-76.337013,-6.5709906,38.394249,-11.109826,-34.11866,-22.432829,38.469505,-10.945554,-32.223461,-4.716753,38.469505,-10.945554,-32.223461,-100.42300999999999,38.469505,-10.945554,-32.223461,-10.92661,38.469505,-10.945554,-32.223461
13,1,CHEMBL1092628,-7.898,-4.539,-0.168,-0.504,-1.057,-4.539,-1.3030000000000002,-0.16,-1.025,-36.113,-7.631,1.038,-0.139,-55.614,-43.745,2.861,7.8835,1.9151,35.7102,-2.2985,-40.8346,59.4815,2.0,-55.0045,1.1144,-6.0718,-2.0,-47.8314,0.3886,32.9793,34.428000000000004,0.1102,1.3386,-172.14,23.4915,0.0389,1.3019999999999998,-24.8324,1.5858,165.9482,2.0938,-69.19133000000001,-7.0443106,81.11930100000001,-9.6188421,-34.842514,-8.268816900000001,81.168114,-10.023635,-34.935539,-5.6733503,81.168114,-10.023635,-34.935539,-110.69527,81.168114,-10.023635,-34.935539,-10.014486999999999,81.168114,-10.023635,-34.935539
14,1,CHEMBL1092637,-9.464,-4.823,-0.151,-0.478,-1.08,-4.823,-1.372,-0.298,-0.501,-37.25,-8.105,0.532,-0.106,-62.309,-45.355,3.309,27.7207,9.204,37.4969,-2.7944,-30.2471,67.9178,3.0,-57.4358,0.8878,-7.5845,-2.0,-49.6014,0.1952,34.6946,38.552,1.7867,2.0707,-192.76,33.0615,0.5246,1.3237,-34.9098,0.8994,257.3119,1.4374,-93.014816,-7.9722309000000005,67.92916899999999,-10.557473,-42.843712,-29.280265999999997,68.134392,-12.328286,-41.538222999999995,-4.8330097,68.134384,-12.328286,-41.538222999999995,-143.62421,68.134384,-12.328286,-41.538219,-12.334908,68.134392,-12.328286,-41.538222999999995
15,1,CHEMBL1093008,-8.537,-5.858,-0.195,-0.607,-1.331,-5.858,-1.6880000000000002,-0.16,-0.6920000000000001,-35.155,-13.536,0.617,-0.147,-70.97800000000002,-48.691,4.178,27.0045,10.612,40.1501,-3.3922,-35.4217,66.0359,3.0,-65.0188,2.6643,-9.3086,-3.0,-53.9755,0.4131,35.3411,43.31399999999999,4.5821,3.3908,-216.57,30.2727,4.9969,2.9885,-38.2581,2.9438,240.9654,2.0497,-81.09270500000001,-6.650816000000001,17.684051999999998,-11.613614,-39.969971,-18.173855,17.660318,-9.8757582,-38.934235,-3.224333,17.660318,-9.8757582,-38.934235,-114.64081999999999,17.660318,-9.8757582,-38.934235,-9.862444900000002,17.660320000000002,-9.8757582,-38.934235
16,1,CHEMBL1094864,-8.731,-6.692,-0.21600000000000005,-0.6779999999999999,-1.509,-6.692,-1.966,-0.19,-0.625,-38.196,-17.488,0.787,-0.16399999999999998,-91.165,-55.683,3.667,45.5793,2.2364,40.086,-2.1747,-9.6007,73.5363,4.0,-62.8521,0.8194,-6.2046,-2.8014,-55.49100000000001,0.2361,36.5702,38.268,0.3764,1.3214,-191.34,26.9411,0.2825,1.0563,-28.2799,1.0,210.198,2.0052,-68.733627,-7.182124099999999,103.92949,-11.893593,-40.950932,-21.718853,103.91834,-12.84952,-39.164359999999995,-4.924511,103.91834,-12.84952,-39.164364,-121.28998999999999,103.91834,-12.84952,-39.164359999999995,-12.791792,103.91834,-12.84952,-39.164356
17,1,CHEMBL1096504,-8.343,-6.399,-0.221,-0.6779999999999999,-1.465,-6.399,-2.165,-0.289,-0.821,-39.548,-11.636,0.767,-0.16899999999999998,-78.541,-51.184,6.982,57.6953,11.5319,41.0685,-2.0331,-8.2726,64.2112,2.7472,-56.7878,0.57,-7.0217,-2.0,-51.1766,0.8766,36.8208,40.024,1.5443,1.659,-200.12,29.9857,1.9362,1.2366,-33.1586,0.9913,243.7747,1.6227,-85.45174399999999,-7.051930900000001,74.479729,-12.540365,-43.352951000000004,-21.188694,74.514877,-11.785976,-43.406693,-5.711588900000001,74.514877,-11.785976,-43.406757,-127.92241999999999,74.514877,-11.785976,-43.406754,-11.770674,74.514931,-11.785976,-43.406704
18,1,CHEMBL1202231,-9.652,-6.277,-0.149,-0.519,-1.325,-6.277,-1.376,-0.163,0.0,-44.764,-17.581,0.162,-0.024,-90.566,-62.345,3.036,17.0825,4.0025,36.8978,-2.3624,-35.292,54.556,1.0,-53.31800000000001,0.9632,-3.1868,-1.2961,-50.4865,0.2681,29.5373,32.556,1.4194,1.5993,-162.78,27.8937,1.4326,1.6262,-30.9525,1.0,221.025,1.456,-96.776588,-8.593105300000001,155.92711,-14.680826000000001,-41.65625,-33.635307,155.86893999999998,-15.642032999999998,-39.021282,-5.744577400000001,155.86893999999998,-15.642032999999998,-39.021282,-146.90851999999998,155.86893999999998,-15.642032999999998,-39.021282,-15.622993,155.86893999999998,-15.642032999999998,-39.021282
19,1,CHEMBL129,-7.296,-4.947,-0.26,-0.695,-1.254,-4.947,-1.113,0.0,-1.944,-30.075,-7.314,0.7490000000000001,-0.039,-49.837,-37.389,1.849,28.6019,2.833,23.2641,-3.1896,-3.0297,42.3347,1.0,-37.9157,0.3799,-3.9325,-3.3332,-30.8417,0.2428,19.9815,20.182,0.0582,0.1422,-100.91,14.3101,0.0073,0.1783,-14.4958,2.8569,55.7237,2.7524,-72.508636,-5.974218799999999,-121.94806000000001,-9.8598499,-32.896595,-12.751257,-122.31043999999999,-9.6239481,-31.977715000000003,-1.8383101000000002,-122.3088,-9.6239481,-31.972903999999996,-86.32049599999999,-122.30958999999999,-9.6239481,-31.974039,-8.7041864,-122.30928,-9.6239481,-31.975759999999998
20,1,CHEMBL18442,-9.756,-6.563,-0.182,-0.602,-1.432,-6.563,-1.073,-0.36,0.0,-34.571,-23.798,0.32,-0.152,-93.44,-58.369,5.2570000000000014,33.4476,5.5314,40.3041,-1.0547,-26.4473,59.1029,4.5512,-45.8609,0.2618,-2.5201,-3.0,-40.1743,0.0886,34.7473,38.872,3.3714,0.7533,-194.36,27.5749,3.9909,0.7303,-32.2962,1.9555,207.5018,1.5597,-73.783188,-8.3960447,94.424377,-15.369719,-39.179146,-30.485729,94.329353,-17.183462,-37.739395,-3.7114961,94.32938399999999,-17.183462,-37.739403,-144.20296000000002,94.329285,-17.183462,-37.739371999999996,-17.204258,94.32936099999999,-17.183462,-37.739395
21,1,CHEMBL237830,-7.786,-4.547,-0.207,-0.579,-1.111,-4.547,-1.196,-0.605,-1.422,-26.207,-15.299,2.5780000000000003,-0.297,-56.974,-41.506,4.18,39.9455,0.0206,37.7667,-9.0229,-2.9813,59.6895,1.0,-57.0001,1.6933,-8.4812,-1.0,-48.7079,0.2998,26.4459,27.238000000000003,0.0148,0.7773,-136.19,24.0052,0.0088,0.7413,-24.7553,2.722,125.0409,1.7368,-71.367424,-6.626498700000001,-103.78655,-11.158432000000001,-39.437145,-17.415760000000002,-103.52851,-10.492533,-38.893002,-3.6017201,-103.52851,-10.492533,-38.893002,-100.18375999999999,-103.52851,-10.492533,-38.893002,-10.558342,-103.52851,-10.492533,-38.893002
22,1,CHEMBL452864,-7.1110000000000015,-6.581,-0.263,-0.77,-1.56,-6.581,-1.393,-0.36,-0.8420000000000001,-28.43,-18.592,0.402,-0.17800000000000002,-76.093,-47.022,4.0,21.5275,11.0128,33.6493,-12.1295,-23.6236,61.4471,3.0,-53.386,0.5586,-3.3110000000000004,-2.0,-48.6729,0.0,34.0994,35.962,1.332,0.5306,-179.81,29.2258,0.532,0.4263,-30.1842,2.347,179.7055,1.6251,-77.377655,-7.476416099999999,-158.39418,-11.374479,-38.565506,-20.146267,-158.4339,-12.870517,-36.084171000000005,-6.5248713,-158.4339,-12.870517,-36.084171000000005,-104.39888,-158.4339,-12.870517,-36.084171000000005,-12.870857,-158.4339,-12.870517,-36.084171000000005
23,1,CHEMBL452868,-7.609,-6.733,-0.259,-0.767,-1.581,-6.733,-1.712,-0.16,-1.298,-29.695,-15.775,0.377,-0.08800000000000001,-74.582,-45.47,2.587,18.9584,0.0,33.8622,-5.7758,-21.8263,58.9923,0.0,-60.4062,0.7554,-2.315,0.0,-59.1831,0.1094,33.653,35.118,0.5485,0.9165,-175.59,30.7341,1.4386,0.7733,-32.946,1.6952,220.4102,1.5562,-89.74807,-7.5161004,-131.96323999999998,-12.919816,-44.149509,-21.07156,-131.77837,-12.029653999999999,-43.423664,-6.2940044,-131.77837,-12.029653999999999,-43.423664,-110.5885,-131.77837,-12.029653999999999,-43.423664,-12.013073,-131.77837,-12.029653999999999,-43.423664
24,1,CHEMBL454689,-6.924,-6.66,-0.29,-0.8240000000000001,-1.611,-6.66,-1.482,-0.365,-1.055,-25.673,-17.248,0.461,-0.348,-71.955,-42.92100000000001,3.647,26.6228,0.4296,33.7564,-13.8864,-6.3355,55.1148,1.44,-50.9573,0.1177,-5.971,-0.8759,-45.3934,0.0334,29.3614,29.858,0.1373,0.3594,-149.29,25.8985,0.1305,0.2827,-26.3116,2.6665,138.3662,1.6654,-57.664314000000005,-7.2162371,-151.63503,-11.572803,-45.45961,-19.579073,-151.64481999999998,-12.454098,-45.490341,-5.342084900000001,-151.64481999999998,-12.454098,-45.490341,-98.24128,-151.64481999999998,-12.454098,-45.490341,-12.387222,-151.64481999999998,-12.454098,-45.490341
25,1,CHEMBL454896,-7.547999999999999,-6.065,-0.209,-0.643,-1.389,-6.065,-1.567,-0.165,-0.49,-32.817,-15.852,0.314,-0.138,-73.973,-48.669,5.8439999999999985,39.7072,0.5943,41.7563,-12.8101,-5.4918,57.4454,0.813,-53.1503,0.7159,-1.2756,-2.0,-50.8676,0.2385,31.6763,32.334,0.1202,0.5375,-161.67,27.9827,0.3872,0.4358,-28.8057,0.9191,207.433,1.5679,-59.130215,-7.71807,-138.57631,-13.169173,-45.490856,-24.993919,-138.42375,-11.95828,-43.055351,-6.1100149,-138.42375,-11.95828,-43.055351,-115.89783,-138.42375,-11.95828,-43.055351,-12.035227,-138.42375,-11.95828,-43.055351
26,1,CHEMBL460298,-7.482,-6.553,-0.243,-0.728,-1.525,-6.553,-1.289,-0.196,-0.977,-28.819000000000006,-19.141,0.354,-0.132,-75.835,-47.96,4.626,33.772,6.5244,34.5435,-11.1157,-9.1341,62.8784,3.392,-50.8528,0.6576,-5.653,-2.6288,-44.0241,0.226,29.5695,33.0,3.0852,0.3454,-165.0,25.3347,3.0594,0.4759,-28.87,1.4939,192.1506,1.5943,-50.677634999999995,-7.9069319,-145.39523,-11.383158,-51.078869,-22.63764,-145.41624,-11.459508,-49.064029999999995,-5.0179911,-145.41624,-11.459508,-49.064029999999995,-111.17166,-145.41624,-11.459508,-49.064029999999995,-11.468762,-145.41624,-11.459508,-49.064029999999995
27,1,CHEMBL460299,-7.21,-6.7170000000000005,-0.28,-0.807,-1.608,-6.7170000000000005,-1.283,-0.454,-1.2819999999999998,-22.624,-19.307,0.43,-0.101,-69.413,-41.931,4.747,39.1477,4.2049,34.8423,-10.8121,-2.1533,56.7793,2.656,-46.3779,0.2613,-3.1799,-2.6703,-43.5028,0.0044,31.5309,31.998,0.1004,0.3667,-159.99,26.2086,0.4275,0.3043,-26.9404,2.4543,149.334,1.6442,-56.546668999999994,-7.568143400000001,-153.52701000000002,-11.365138,-48.822086,-21.158791,-153.50555,-11.595557000000001,-47.060875,-5.1339483,-153.50555,-11.595557000000001,-47.060875,-95.556946,-153.50555,-11.595557000000001,-47.060875,-11.589406,-153.50555,-11.595557000000001,-47.060875
28,1,CHEMBL460491,-7.707999999999998,-6.93,-0.257,-0.77,-1.6130000000000002,-6.93,-1.385,-0.555,-0.735,-29.436,-20.324,0.471,-0.207,-81.6,-49.76,4.0539999999999985,36.8193,0.9955,34.0924,-9.4549,-1.5984,59.3926,2.784,-52.2781,0.6464,-2.4286,-2.7088,-47.8998,0.0,30.0869,33.74,3.3026,0.3505,-168.7,29.2432,3.6857,0.3192,-33.2481,1.8874,216.7247,1.5205,-79.747292,-8.1953306,-193.96718,-12.177777,-50.289379,-22.342081,-193.74767,-12.381941000000001,-48.2789,-5.4139137,-193.74767,-12.381941000000001,-48.2789,-105.04392,-193.74767,-12.381941000000001,-48.2789,-12.484254,-193.74767,-12.381941000000001,-48.2789
29,1,CHEMBL461358,-6.71,-6.599,-0.264,-0.772,-1.564,-6.599,-1.539,-0.464,-0.84,-28.155,-20.247,0.929,-0.24,-77.684,-48.402,3.434,38.8861,9.9588,35.5103,-12.9566,-6.9427,54.9092,3.472,-45.2257,0.4849,-4.9145,-2.1901,-38.5123,0.1981,34.162,35.922,0.9268,0.8332,-179.61,28.6959,0.4567,0.5694,-29.722,1.7186,202.3473,2.0206,-63.812626,-7.3913283,-156.79301,-11.722773,-45.679287,-22.826794,-156.75101999999998,-11.353439,-44.44178,-5.1899266,-156.75101999999998,-11.353439,-44.441784000000006,-113.02363999999999,-156.75101999999998,-11.353439,-44.441784000000006,-11.397730000000001,-156.75101999999998,-11.353439,-44.44178
30,1,CHEMBL461359,-7.746,-7.633999999999999,-0.263,-0.809,-1.7480000000000002,-7.633999999999999,-2.002,-0.45,-0.917,-27.337,-20.669,0.319,-0.115,-81.25,-48.006,3.0810000000000004,36.0245,7.9923,30.5523,-6.8486,-7.1287,56.5617,2.0,-51.7169,0.6274,-8.2711,-1.0,-43.154,0.0,35.203,36.632,1.1694,0.2597,-183.16,26.3342,1.5818,0.2427,-28.1587,0.9995,199.9978,1.5857,-61.331451,-7.6166101,-136.21088,-11.492741,-40.697296,-21.555473000000003,-139.81454,-11.435296000000001,-39.148697,-5.5904059,-139.81122,-11.435296000000001,-39.148045,-94.914299,-139.81073,-11.435296000000001,-39.148582,-11.841911999999999,-139.81787,-11.435296000000001,-39.141487
31,1,CHEMBL462588,-8.312999999999999,-6.687,-0.231,-0.708,-1.531,-6.687,-2.259,-0.311,-0.931,-36.143,-11.586,0.418,-0.058,-73.883,-47.729,5.455,29.475,0.0,39.1147,-10.2198,-14.0879,56.3326,0.0,-57.0932,2.0017,-6.5316,0.0,-51.0837,0.0592,30.9148,33.282,0.2281,2.1391,-166.41,26.8214,0.1569,1.7958,-28.774,0.6797,216.0408,1.6613,-61.386177,-7.5939689,-180.04594,-11.834695,-51.45105,-18.275328,-180.12045,-11.077383,-49.689377,-5.258821,-180.12045,-11.077383,-49.689377,-86.616989,-180.12045,-11.077383,-49.689377,-11.169828,-180.12045,-11.077383,-49.689377
32,1,CHEMBL477121,-7.866,-7.058,-0.235,-0.731,-1.604,-7.058,-1.693,-0.277,-0.589,-33.791,-21.752,0.5770000000000001,-0.124,-96.704,-55.543,9.061,34.4706,0.6512,32.9056,-2.4324,-8.9934,53.6879,1.392,-51.3924,1.0866,-7.2897,-2.6592,-42.3026,0.2728,41.0546,43.162,1.5498,0.5576,-215.81,24.7887,1.3618,0.4675,-26.618,0.0138,221.1683,1.8691,-86.92935200000001,-8.2137938,-6.582917200000001,-16.195529999999998,-53.607578000000004,-27.521997,-6.1509366,-16.065025,-52.445499,-4.5568580999999995,-6.1509366,-16.065025,-52.445499,-118.25963999999999,-6.1509366,-16.065025,-52.445499,-16.078428,-6.1509366,-16.065025,-52.445499
33,1,CHEMBL508054,-7.751,-6.621,-0.245,-0.736,-1.541,-6.621,-1.7280000000000002,-0.258,-0.727,-35.088,-14.999,0.354,-0.257,-77.578,-50.088,5.456,-2.6732,6.8079,35.3449,-9.466,-48.6143,53.612,2.9913,-43.03100000000001,0.8612,-1.2536,-2.0,-40.8019,0.0,28.2794,32.638000000000005,3.7047,0.6539,-163.19,23.7419,3.5944,0.5104,-27.8467,0.9892,197.7961,1.5935,-69.259354,-7.889410499999999,-150.6066,-12.351282000000001,-51.451671999999995,-21.568535,-150.54047,-11.363913,-50.132698,-5.0532297999999995,-150.54057,-11.363913,-50.132694,-107.83372,-150.54058999999998,-11.363913,-50.132678999999996,-11.437598,-150.54266,-11.363913,-50.13258
34,1,CHEMBL516630,-7.359,-6.711,-0.258,-0.765,-1.5759999999999998,-6.711,-1.518,-0.466,-0.799,-29.81,-17.701,0.377,-0.159,-77.91199999999998,-47.511,3.983,30.2392,3.8304,32.3479,-14.0396,-4.0299,61.1613,3.648,-52.2862,1.1249,-1.9581,-3.3953,-49.1905,0.0446,33.7368,34.234,0.0289,0.4683,-171.17,25.5707,0.5763,0.4218,-26.5688,0.6276,196.5858,1.5655,-54.129002,-7.6703515,-202.0679,-11.724198,-45.062737,-20.647442,-201.80706999999998,-12.147596,-44.267265,-5.5322385,-201.80706999999998,-12.147596,-44.267265,-106.21561000000001,-201.80706999999998,-12.147596,-44.267265,-12.231888,-201.80706999999998,-12.147596,-44.267265
