Number,Label,Name,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal,Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,E_place,S_gw,E_conf_gw,E_score1_gw,E_refine_gw,S_ase,E_conf_ase,E_score1_ase,E_refine_ase,S_adg,E_conf_adg,E_score1_adg,E_refine_adg,S_ahb,E_conf,E_score1_ahb,E_refine_ahb,S_ldg,E_conf_ldg,E_score1_ldg,E_refine_ldg
11,1,CHEMBL1093088,-8.274,-0.276,-0.857,-1.88,-8.274,-3.873,-0.36,-1.821,-38.028,-4.046,0.345,-0.056,-61.371,-42.074,1.705,57.4699,0.0899,42.4516,-2.3406,1.3496,75.3168,0.0,-73.8444,0.8682,-5.7484,0.0,-69.0846,0.1333,35.2315,36.168,0.406,0.5306,-180.84,29.1284,1.611,0.2241,-30.9635,0.0835,254.1364,1.7692,-86.663422,-6.1817164,22.388367000000002,-10.295658,-30.152452,-11.590494,22.322315,-10.200525,-28.413836,-3.6769928999999997,22.322317,-10.200525,-28.413836,-88.90564,22.322317,-10.200525,-28.413836,-10.183167,22.322315,-10.200525,-28.413836
12,1,CHEMBL1096003,-7.977,-0.249,-0.7909999999999999,-1.786,-7.977,-4.2189999999999985,-0.2,-0.777,-46.368,-6.235,0.522,-0.049,-83.36399999999998,-52.603,7.066,67.3542,3.0884,51.0888,-5.7846,-0.1968,84.664,0.8959999999999999,-83.12700000000002,1.2003,-9.4854,-1.0,-73.7863,0.2308,32.6599,34.154,0.5941,0.9,-170.77,35.0481,0.6126,0.3362,-35.997,0.963,274.1327,1.8645,-45.048885,-6.702972900000001,-10.876916,-10.117247,-37.281963,-8.816286999999999,-10.989802000000001,-11.257545,-36.836052,-4.902789599999999,-10.989803,-11.257545,-36.836052,-68.845428,-10.989802000000001,-11.257545,-36.836052,-11.27398,-10.989802000000001,-11.257545,-36.836052
13,1,CHEMBL1163584,-6.9289999999999985,-0.231,-0.718,-1.574,-6.9289999999999985,-3.819,-0.079,-0.754,-47.657,-1.548,0.3720000000000001,-0.033,-61.301,-49.205,13.122,49.1397,0.7037,41.625,-9.0604,0.2621,74.8814,1.0,-74.7352,2.1435,-6.7923,-1.0,-67.7118,0.135,31.9136,35.526,1.7318,1.8805,-177.63,35.2744,1.7318,0.9994,-38.0056,0.9981,279.6904,1.3797,-45.757416,-7.1071563,-0.37216559,-9.975581199999999,-43.064369,-13.440320000000002,-0.38801739,-10.149175,-42.58197,-2.8691204,-0.38797027,-10.149175,-42.582039,-94.102127,-0.38760793,-10.149175,-42.581879,-10.14093,-0.38765174,-10.149175,-42.582253
14,1,CHEMBL1163678,-8.079,-0.337,-0.971,-1.934,-8.079,-4.135,-0.32,-1.155,-36.372,-6.487,0.32299999999999995,0.0,-67.822,-42.859,0.324,58.1402,7.4199,43.7155,-1.5673,-7.8213,78.0139,1.8921,-72.3381,0.0617,-4.9935,-2.4422,-66.9319,0.0329,31.9953,34.93,2.2559,0.6788,-174.65,33.5145,2.2413,0.3135,-36.0693,0.9975,277.7228,2.0453,-56.928314,-5.9624419,27.304871000000002,-11.00726,-33.297901,-6.833446,27.204063,-11.66414,-32.832432,-4.0326538,27.204063,-11.66414,-32.832432,-65.603302,27.204063,-11.66414,-32.832432,-11.548572,27.204063,-11.66414,-32.832432
15,1,CHEMBL1163881,-7.752000000000002,-0.277,-0.841,-1.789,-7.752000000000002,-4.4430000000000005,0.0,-1.372,-42.851000000000006,-1.43,0.42,0.0,-61.893,-44.28100000000001,2.507,48.6831,0.0,40.6868,-1.5108,-5.7504,76.1919,0.0,-75.2778,0.6767,-7.353,-0.8320000000000001,-69.4605,0.0725,25.5858,32.792,6.5935,0.6126,-163.96,31.6589,6.5336,0.633,-38.8255,0.9577,283.7748,1.1933,-71.367599,-6.3310533,39.518684,-9.444036500000001,-34.054210999999995,-11.974504,39.605946,-9.417119,-33.792266999999995,-3.5045394999999995,39.605946,-9.417119,-33.792266999999995,-89.583656,39.605946,-9.417119,-33.792266999999995,-9.387112599999998,39.605946,-9.417119,-33.792266999999995
16,1,CHEMBL1163892,-7.765,-0.277,-0.8420000000000001,-1.7919999999999998,-7.765,-4.4860000000000015,-0.32,-0.841,-41.043,-3.012,0.387,0.0,-59.52,-44.055,7.785,48.1452,0.5252,37.4783,-3.2306,-0.682,74.5031,1.0,-71.9233,0.2704,-0.3985,-3.924,-68.2376,0.031,30.515,33.59,0.383,2.692,-167.95,31.1446,0.5169,2.5723,-34.2338,0.0,280.6528,1.5948,-80.314285,-6.6391034,43.424686,-10.858464999999999,-29.554775,-14.728107000000001,43.400379,-11.153704,-28.42189,-3.8536696000000004,43.400379,-11.153704,-28.42189,-115.13898,43.400379,-11.153704,-28.42189,-11.124207,43.400379,-11.153704,-28.42189
17,1,CHEMBL1164373,-6.819,-0.262,-0.777,-1.601,-6.819,-2.767,-0.16,-1.225,-34.054,-6.832000000000002,0.161,-0.1,-57.041,-40.886,0.664,53.166,0.0,42.5317,-1.1348,-4.1803,73.9094,0.0,-75.3481,0.7652,-7.6041,0.0,-69.3505,0.3139,24.996,27.492,2.2109,0.2851,-137.46,32.8973,2.0173,0.1649,-35.0796,0.5137,260.2046,1.0,-74.86393699999999,-6.1491761,21.704359,-9.9760437,-25.395626,-12.583101,21.611252,-10.49887,-25.002039,-3.9697599,21.611252,-10.49887,-25.002039,-75.70311,21.611252,-10.49887,-25.002039,-10.513179,21.611252,-10.49887,-25.002039
18,1,CHEMBL1164476,-5.776,-0.193,-0.598,-1.3119999999999998,-5.776,-2.8560000000000003,-0.031,-0.866,-42.598,-1.558,0.34,0.0,-55.392,-44.15600000000001,7.121,49.20399999999999,1.2294,39.3846,-5.7807,-0.3986,67.9478,1.0,-66.3954,1.4748,-5.1432,-1.0,-61.3588,0.1087,31.1461,35.482,2.6285,1.7074,-177.41,33.2477,2.051,0.7853,-36.084,1.0,263.3509,1.386,-100.84875,-6.9356265,8.657554600000001,-12.036513000000001,-32.805813,-14.910279000000001,8.763292300000002,-13.560529,-31.668665,-4.1189451,8.763292300000002,-13.560529,-31.668665,-145.85435,8.763292300000002,-13.560529,-31.668665,-13.575581,8.763292300000002,-13.560529,-31.668665
19,1,CHEMBL1164477,-7.427,-0.265,-0.805,-1.714,-7.427,-3.896,-0.192,-0.812,-39.332,-5.517,0.378,-0.111,-68.77199999999999,-44.85,2.7310000000000003,30.7278,6.0704,40.4708,-4.4322,-26.5578,75.3174,1.0,-71.8513,0.6837,-5.1011,-1.0,-68.3987,0.1259,30.8155,34.552,2.9375,0.7989,-172.76,35.814,2.6077,0.7765,-39.1982,0.9995,293.9337,1.5666,-47.828465,-6.865263900000001,-38.46629,-10.059466,-36.528484000000006,-10.961296,-38.723671,-11.976475,-36.638054,-4.5152636,-38.72403,-11.976475,-36.63903,-78.402199,-38.723178999999995,-11.976475,-36.640877,-12.076375,-38.726662,-11.976475,-36.635368
20,1,CHEMBL1164552,-6.85,-0.18,-0.606,-1.477,-6.85,-3.862,0.0,-0.212,-51.534,-3.673,0.35700000000000004,-0.005,-76.941,-55.207,7.341,-3.7675,5.6895,48.3467,-13.433,-62.5007,81.9171,2.0,-78.7905,3.4617,-4.67,-1.0,-75.0187,0.8222,37.12,40.39,0.4455,2.8245,-201.95,31.0369,0.6168,1.2033,-32.8571,0.0,277.5137,1.9891,-79.581047,-7.0169082,35.803139,-8.4116344,-38.597786,-12.75354,36.009476,-11.208515,-38.106926,-4.8279185,36.007427,-11.208515,-38.108971000000004,-97.016243,36.009547999999995,-11.208515,-38.107006,-11.226723,36.009468,-11.208515,-38.108585
21,1,CHEMBL1170621,-4.763,-0.28,-0.72,-1.242,-4.763,-1.236,-0.278,-1.887,-21.542,-1.898,0.0,0.0,-30.39,-23.44,0.511,30.684,0.0,28.3237,-0.36,-7.9011,56.5162,0.0,-56.5164,0.0001,-5.0567,-1.0,-51.7305,0.0695,23.2873,24.524,1.2307,0.006,-122.62,29.079,1.4195,0.0,-30.4985,0.0992,232.8811,1.0,-49.418673999999996,-5.0088644,15.286035,-8.3107901,-22.359614999999998,-12.150263,15.224689000000001,-8.451848,-21.822491,-2.8399360000000002,15.224689000000001,-8.451848,-21.822491,-81.37709,15.224689000000001,-8.451848,-21.822491,-8.4267578,15.224689000000001,-8.451848,-21.822491
22,1,CHEMBL1173703,-5.995,-0.353,-0.907,-1.564,-5.995,-2.414,-0.012,-2.003,-27.541,-1.252,0.0,0.0,-39.089,-28.794,0.742,34.3624,0.0,26.2189,-0.36,-1.3286,52.3128,0.0,-52.3128,0.0,-5.7664,0.0,-47.9448,0.0,21.6893,23.386,1.6867,0.01,-116.93,28.092,1.6336,0.0696,-29.7952,0.7317,208.815,1.0,-48.623203000000004,-5.234265799999999,15.133835999999999,-7.5707364,-23.440319,-11.322827,15.123623,-8.657465,-22.785477,-2.7156196,15.123623,-8.657465,-22.785477,-77.950172,15.123623,-8.657465,-22.785477,-8.6426201,15.123623,-8.657465,-22.785477
23,1,CHEMBL1173704,-6.01,-0.354,-0.909,-1.568,-6.01,-2.46,-0.102,-1.889,-26.758000000000006,-0.6829999999999999,0.0,-0.12,-37.597,-27.441,0.009000000000000001,38.0547,0.0,27.7052,-0.36,0.3201,52.8648,0.0,-53.3281,0.2321,-2.8014,-0.8639,-51.3431,0.0589,21.4829,21.582,0.0453,0.0539,-107.91,25.8549,0.8882,0.0162,-26.7593,0.6994,161.9075,0.0,-55.273914000000005,-4.9522662,66.256783,-9.5378466,-21.258213,-10.308334,66.28376800000001,-8.4724255,-21.215744,-2.6061249,66.283714,-8.4724255,-21.215823999999998,-77.334305,66.283722,-8.4724255,-21.215834,-8.477000199999999,66.283676,-8.4724255,-21.215782
24,1,CHEMBL1213955,-7.879,-0.375,-1.035,-1.948,-7.879,-2.467,-0.41,-2.385,-33.654,-7.568,0.201,0.0,-58.467,-41.222,0.711,44.87,1.3062,32.2227,-0.7609,0.0185,54.7528,1.0,-51.7638,0.0277,-4.2617,-1.0,-46.4993,0.0408,26.8436,28.718000000000004,1.8101,0.0643,-143.59,28.7975,1.9124,0.1063,-30.8161,2.5776,174.0314,1.4198,-73.428169,-5.5209389,-113.1722,-9.8561049,-28.530556,-6.9540939,-113.42343999999999,-8.3918438,-25.349445000000003,-2.8223782,-113.42641,-8.3918438,-25.354509,-54.083622,-113.42085,-8.3918438,-25.375229,-8.372345,-113.42671000000001,-8.3918438,-25.358566
25,1,CHEMBL1222153,-4.89,-0.233,-0.642,-1.209,-4.89,-1.528,0.0,-2.0980000000000003,-31.299,0.7559999999999999,0.215,-0.028,-39.721,-30.543000000000006,0.044,36.5973,0.0,27.6417,-1.266,-0.1441,44.5678,0.0,-45.0006,0.22,-1.7036,0.0,-44.7955,0.1002,24.0337,27.21,3.1561,0.0202,-136.05,23.825,10.8679,0.0221,-34.715,1.8602,196.7693,0.0,-67.528114,-5.4401832,-3.2077557999999997,-8.8226728,-34.064877,-7.212853900000001,-3.2753127,-9.145008099999998,-34.017212,-3.591706,-3.2753127,-9.145008099999998,-34.017212,-75.153374,-3.2753127,-9.145008099999998,-34.017212,-9.2901487,-3.2753129,-9.145008099999998,-34.017212
26,1,CHEMBL1222255,-5.192,-0.226,-0.642,-1.255,-5.192,-1.19,-0.161,-1.942,-32.528,-5.2010000000000005,0.5429999999999999,-0.035,-52.666,-37.729,1.6980000000000002,39.0185,0.1303,29.9843,-4.8117,2.4715,44.0335,1.3132,-40.3571,1.5894,-3.9664,-2.0,-36.2691,0.3206,20.3924,23.204,0.5859,2.2257,-116.02,19.8854,0.6579999999999999,0.3648,-20.9083,1.7845,102.803,1.0,-83.805367,-6.296086799999999,-7.839493300000001,-9.370951699999999,-46.664528000000004,-9.649128,-7.384425599999999,-8.6050091,-33.418407,-3.1582592000000003,-7.389085799999999,-8.6050091,-33.418949,-69.139351,-7.385108,-8.6050091,-33.412853000000005,-9.2898083,-7.3859300999999995,-8.6050091,-33.407253000000004
27,1,CHEMBL204459,-7.962999999999999,-0.306,-0.907,-1.87,-7.962999999999999,-4.074,-0.2,-1.5619999999999998,-38.793,-5.272,0.757,-0.155,-66.973,-44.065,2.195,52.9916,0.1173,42.0112,-3.6162,-1.2748,81.7646,0.0,-87.2308,2.2643,-6.2067,0.0,-81.6198,0.0,36.6437,39.344,0.0808,2.6195,-196.72,33.4464,0.2818,1.0322,-34.7604,0.0,278.8352,1.306,-47.711945,-6.1475797,95.058174,-9.5569677,-34.916672,-11.034817,95.152771,-11.849789999999999,-35.643536,-3.7328856,95.152771,-11.849789999999999,-35.643539000000004,-66.314194,95.152771,-11.849789999999999,-35.643539000000004,-11.865397,95.152771,-11.849789999999999,-35.643536
28,1,CHEMBL205437,-8.162,-0.281,-0.865,-1.869,-8.162,-4.073,0.0,-1.686,-42.153,-6.0710000000000015,0.617,-0.002,-69.503,-48.224,8.5,-62.6434,3.5254,45.2057,-10.0099,-118.3169,76.923,0.0,-93.9994,1.4709,-6.1456,0.0,-90.0029,0.0,35.8588,39.94,0.0118,4.0693,-199.7,33.3017,0.4668,0.61,-34.3785,0.0,271.8239,1.1347,-57.588436,-6.2001290000000004,-98.16534399999999,-9.8142004,-32.158466,-11.243853,-98.193794,-9.7177296,-31.554709999999996,-3.8802648,-98.193794,-9.7177296,-31.554709999999996,-98.846191,-98.193794,-9.7177296,-31.554709999999996,-9.704153100000001,-98.193794,-9.7177296,-31.554709999999996
29,1,CHEMBL206115,-7.959,-0.295,-0.884,-1.853,-7.959,-4.0760000000000005,-0.2,-1.392,-39.859,-5.667999999999998,0.7,-0.147,-71.065,-45.528,1.945,57.3897,1.1838,45.1602,-2.8423,-3.0471,82.6923,1.0,-84.8812,0.8289,-7.4678,-1.0,-76.2612,0.0,39.7488,42.342,0.353,2.2402,-211.71,34.3543,0.1804,0.7891,-35.3239,0.9917,268.1652,1.8921,-69.885826,-6.6113005000000005,76.444405,-12.514449,-40.011269,-10.988750999999999,76.53981800000001,-13.061518,-40.610909,-4.903213,76.53981800000001,-13.061518,-40.610909,-83.85421,76.53981800000001,-13.061518,-40.610909,-13.128291,76.53981800000001,-13.061518,-40.610909
30,1,CHEMBL206249,-8.442,-0.281,-0.8740000000000001,-1.918,-8.442,-3.877,-0.224,-1.668,-36.836,-8.707,0.574,-0.099,-74.98899999999998,-45.543,3.855,-29.1644,0.5339,39.5382,-15.341,-68.7223,84.0882,1.0,-83.2938,2.3958,-2.8756,-2.2071,-79.9119,0.0,30.6159,36.6,2.0256,3.9586,-183.0,31.1488,2.4684,0.9571,-34.5743,1.9394,229.1846,1.6398,-49.235409000000004,-6.1135721,-119.49053,-10.851983,-29.488689,-5.4511514000000005,-119.43052,-11.72772,-28.389074,-4.752241099999999,-119.43052,-11.72772,-28.389074,-37.478111,-119.43052,-11.72772,-28.389074,-11.780132,-119.43052,-11.72772,-28.389074
31,1,CHEMBL207993,-7.689,-0.214,-0.705,-1.6780000000000002,-7.689,-3.266,-0.2,-1.6030000000000002,-47.914,-6.687,0.8420000000000001,-0.064,-81.452,-54.602,7.388,31.0068,2.5799,50.8243,-15.0831,-26.3734,97.3473,2.0,-98.0957,3.6572,-10.4863,-1.0,-87.4986,0.1635,21.8544,25.64,0.0718,3.7138,-128.2,26.4087,0.031,0.6341,-27.0738,0.6506,210.3284,2.0265,-73.85327099999999,-6.8727064,-29.842421999999996,-9.2372465,-33.04493,-17.275097,-29.816401000000003,-9.6997547,-32.413090000000004,-3.9564559,-29.816415999999997,-9.6997547,-32.413097,-108.07328000000001,-29.816397,-9.6997547,-32.413090000000004,-9.7006769,-29.816399,-9.6997547,-32.413090000000004
32,1,CHEMBL208346,-7.399,-0.2,-0.6659999999999999,-1.605,-7.399,-3.752,0.0,-1.489,-53.091,-2.036,0.8029999999999999,0.0,-76.311,-55.12600000000001,6.957999999999998,25.0675,0.1004,50.5148,-11.8592,-32.6315,93.146,0.0,-97.4649,2.3901,-10.2329,0.0,-88.5341,0.1126,38.6736,41.474,0.1301,2.6704,-207.37,36.1336,1.2097,0.195,-37.5384,0.9781,289.3942,1.9795,-66.374825,-7.8372535999999995,-10.015962,-8.7953424,-55.65088299999999,-10.860804,-9.9883776,-9.7582541,-53.731228,-3.4611096,-9.9883766,-9.7582541,-53.731228,-92.472626,-9.9883766,-9.7582541,-53.73123199999999,-9.736965199999998,-9.9883776,-9.7582541,-53.731228
33,1,CHEMBL208422,-8.837,-0.276,-0.877,-1.979,-8.837,-4.69,0.0,-1.987,-47.494,-2.013,0.517,0.0,-76.581,-49.508,2.701,-16.6011,3.6569,43.9796,-15.9972,-64.7327,85.1837,0.0,-90.5656,2.2402,-8.0183,0.0,-84.5322,0.0,37.9945,42.462,0.1185,4.3491,-212.31,35.2099,0.3869,0.9986,-36.5954,0.0,290.4948,1.1221,-72.371574,-8.239460000000001,-98.842735,-11.538264999999999,-59.158081,-14.383942999999999,-98.758682,-10.853339,-58.694134,-5.2509708,-98.758682,-10.853339,-58.694134,-105.09441000000001,-98.758682,-10.853339,-58.694134,-11.061619,-98.758682,-10.853339,-58.694134
34,1,CHEMBL208864,-6.874,-0.191,-0.63,-1.5,-6.874,-2.518,-0.48,-0.684,-47.24,-10.720999999999998,0.833,-0.055,-78.317,-57.96100000000001,6.893,53.2375,1.3306,47.2671,-6.1994,-6.8859,101.256,1.0,-99.5572,1.412,-13.1578,-1.0,-88.0733,0.3109,39.6398,42.684,0.1097,2.9346,-213.42,31.5203,0.2439,0.4448,-32.209,0.9999,260.7008,2.7784,-86.32468399999999,-9.600613599999999,33.097454,-8.670988099999999,-68.958611,-16.561859,33.280499,-15.174565,-68.398155,-4.7361598,33.280499,-15.174565,-68.398155,-134.3768,33.280499,-15.174565,-68.398155,-14.909857,33.280499,-15.174565,-68.398155
35,1,CHEMBL209310,-8.423,-0.234,-0.773,-1.838,-8.423,-3.264,-0.304,-1.575,-47.469,-10.182,0.833,-0.212,-85.48200000000001,-57.651,9.08,30.5842,9.6165,47.5264,-5.3661,-39.015,95.9388,2.0,-90.8374,0.6358,-8.9995,-2.0,-81.2685,0.2169,35.3811,44.786,3.4604,5.9445,-223.93,33.0595,2.9907,2.8594,-38.9097,1.9992,286.3386,2.6365,-89.603989,-9.561530099999999,10.511525,-10.278702000000001,-67.09436,-16.318189999999998,10.651349,-14.821929999999998,-66.570274,-4.8262014,10.651351,-14.821929999999998,-66.570274,-137.188,10.65135,-14.821929999999998,-66.570274,-14.5335,10.651349,-14.821929999999998,-66.570274
