number,name,Label,E_place,S,E_conf,E_score1,E_refine,S(2),E_conf(2),E_score1(2),E_refine(2),S(3),E_conf(3),E_score1(3),E_refine(3),S(4),E_conf(4),E_score1(4),E_refine(4),S(5),E_conf(5),E_score1(5),Goldscore.Fitness,Goldscore.External.HBond,Goldscore.External.Vdw,Goldscore.Internal.Torsion,Goldscore.Internal.Vdw,PLP.Fitness,PLP.Chemscore.Hbond,PLP.PLP,PLP.ligand.torsion,PLP.part.buried,PLP.part.hbond,PLP.part.nonpolar,PLP.part.repulsive,ASP.Fitness,ASP.ASP,ASP.DEClash,ASP.DEInternal,ASP.Map,Chemscore.Fitness,Chemscore.DEClash,Chemscore.DEInternal,Chemscore.DG,Chemscore.Hbond,Chemscore.Lipo,Chemscore.Rot,docking score,glide ligand efficiency,glide ligand efficiency sa,glide ligand efficiency ln,glide gscore,glide lipo,glide hbond,glide rewards,glide evdw,glide ecoul,glide erotb,glide esite,glide emodel,glide energy,glide einternal
11,CHEMBL1093088,1,-72.058403,-6.8775926,25.426634,-11.531501,-41.311909,-136.80865,25.427801,-11.531501,-41.311283,-21.576405,25.43471,-11.531501,-41.321503,-7.5039425,25.458847,-11.218554,-42.288982,-2.931622,20.395409,-2.931622,46.8546,0.0234,36.7132,-3.3633,-0.2862,80.1113,0.2982,-78.342,1.7035,-2.2943,-1,-75.8094,0.0675,35.5224,36.008,0.044,0.4415,-180.04,29.141,1.6892,0.3982,-31.2284,0,258.7833,1.7692,-8.298,-0.277,-0.859,-1.885,-8.298,-4.125,-0.08,-2.052,-37.555,-3,0.345,-0.058,-59.242,-40.555,0.894
12,CHEMBL1096003,1,-88.553017,-6.3257623,-9.4489059,-12.49135,-44.947239,-116.4539,-9.4483719,-12.49135,-44.947704,-19.651276,-9.4480495,-12.49135,-44.947453,-8.1082325,-9.4531631,-12.141973,-45.909096,-2.9998136,-14.025848,-2.9998136,36.1785,0,37.083,-6.2157,-8.5949,84.0989,0,-85.0316,1.1404,-6.7696,-0.872,-78.1995,0.1106,33.6737,35.184,0.1839,1.3264,-175.92,36.1379,0.3419,0.814,-37.2938,0.977,284.8168,1.8645,-7.934,-0.248,-0.787,-1.777,-7.934,-4.195,-0.2,-0.882,-43.7,-6.116,0.522,-0.077,-80.269,-49.816,5.201
13,CHEMBL1163584,1,-87.406425,-6.0378466,8.3283844,-11.538255,-38.014606,-141.30902,8.3301086,-11.538255,-38.016312,-20.07559,8.3284655,-11.538255,-38.01482,-7.4592533,8.362196,-11.256988,-38.997501,-3.0014758,-7.7105546,-3.0014758,38.0843,0.7666,40.4643,-6.3881,-11.9325,72.4959,0.352,-71.9865,1.3166,-7.7545,-1,-64.4044,0.1519,35.7073,38.774,0.9471,2.1195,-193.87,35.0745,0.6647,1.9086,-37.6478,1.8668,251.8341,1.3797,-6.898,-0.23,-0.714,-1.567,-6.898,-3.544,-0.184,-1.107,-44.305,-1.258,0.372,-0.031,-61.046,-45.562,6.907
14,CHEMBL1163584,1,-75.946487,-5.9337339,0.41214159,-11.528083,-40.399593,-118.35921,0.41156238,-11.528083,-40.399891,-21.59647,0.41278926,-11.528083,-40.400391,-7.7880144,0.33311534,-10.383399,-40.734982,-3.0014758,-7.6349492,-3.0014758,46.0955,0,40.3128,-6.4106,-2.9241,75.1982,0,-76.2151,1.4327,-5.8521,-1.6827,-71.6882,0.0497,34.3791,37.768,1.7499,1.639,-188.84,38.245,2.382,0.2323,-40.8593,1.3178,294.9542,1.3797,-6.783,-0.226,-0.703,-1.541,-6.783,-3.774,0,-0.782,-46.174,-1.349,0.372,-0.087,-66.84,-47.523,1.034
15,CHEMBL1163678,1,-88.315689,-5.8192029,28.188286,-13.403093,-23.401468,-132.42598,28.188663,-13.403093,-23.401844,-18.207827,28.187756,-13.403093,-23.400833,-6.6393995,28.109308,-12.677191,-24.576855,-2.9993696,9.6385365,-2.9993696,46.3297,0.4035,37.8162,-1.2267,-4.8444,59.4832,0,-59.6803,0.1023,-6.4882,0,-53.8752,0.0128,23.358,28.574,4.305,0.9109,-142.87,31.7431,4.4773,0.9413,-37.1617,2.5089,243.9153,2.0453,-5.639,-0.235,-0.678,-1.35,-5.639,-1.764,-0.111,-1.167,-24.226,-11.392,0.323,0,-48.332,-35.619,7.467
16,CHEMBL1163678,1,-95.362282,-5.0659814,21.770741,-11.414738,-36.376148,-119.38705,21.769159,-11.414738,-36.376621,-20.875721,21.769665,-11.414738,-36.376404,-7.3461065,21.761925,-11.251203,-37.122433,-2.9993696,15.357361,-2.9993696,31.0631,5.1681,36.6043,-2.1371,-22.2988,76.8228,2,-71.2328,0.8231,-7.4812,-2,-63.1787,0.099,34.607,37.068,0.5573,1.9038,-185.34,37.2512,0.8042,0.4141,-38.4694,1.8861,272.8689,2.0453,-7.548,-0.314,-0.907,-1.807,-7.548,-3.694,-0.2,-1.18,-37.192,-5.813,0.323,-0.065,-65.007,-43.004,2.506
17,CHEMBL1163881,1,-94.425674,-5.7665515,50.830254,-10.982142,-33.079647,-119.1675,50.830368,-10.982142,-33.081554,-21.183359,50.830414,-10.982142,-33.079994,-7.3900094,50.85471,-10.306406,-35.017193,-2.9263444,38.25473,-2.9263444,13.3188,0,37.6908,-1.2522,-37.2538,76.6688,0,-76.4313,0.8834,-6.2354,0,-70.9185,0.0567,31.9568,32.288,0.0089,0.3224,-161.44,31.9915,0.1313,0.4982,-32.621,0,258.0843,1.1933,-6.104,-0.218,-0.662,-1.409,-6.104,-2.396,-0.144,-1.169,-30.712,-7.86,0.42,-0.1,-53.02,-38.572,0.747
18,CHEMBL1163881,1,-89.926102,-6.6102252,42.260361,-10.638555,-35.297497,-115.27589,42.259975,-10.638555,-35.297108,-21.276466,42.259678,-10.638555,-35.296967,-7.3017607,42.268681,-10.368039,-37.162533,-2.9263444,38.257538,-2.9263444,51.3129,0,43.9581,-1.0488,-8.0807,77.4712,0,-78.8163,0.6785,-7.5212,0,-73.7224,0.0668,25.6111,28.92,3.0725,0.2364,-144.6,33.8325,3.0874,0.2343,-37.1542,0,296.8296,1.1933,-7.201,-0.257,-0.781,-1.662,-7.201,-3.488,-0.164,-1.333,-42.877,-3.284,0.42,0,-62.151,-46.161,7.533
19,CHEMBL1163892,1,-80.724106,-6.1671081,54.872849,-10.849775,-32.634594,-109.06997,54.873566,-10.849775,-32.632877,-21.130384,54.87368,-10.849775,-32.634125,-7.3573661,54.907677,-10.636468,-34.252258,-2.9706681,41.190426,-2.9706681,46.0161,0.0232,38.933,-2.2868,-5.2532,71.8679,0.9913,-69.4432,0.8321,3.7546,-2.8026,-71.9232,0.0251,28.6288,35.016,3.7269,2.6603,-175.08,36.5686,2.7816,1.2666,-40.6168,0.9974,306.736,1.5948,-6.563,-0.234,-0.712,-1.515,-6.563,-3.529,0,-0.858,-38.912,-4.122,0.387,0,-60.426,-43.033,1.165
20,CHEMBL1163892,1,-59.006569,-5.7541432,43.832729,-10.413342,-35.9674,-111.23224,43.83358,-10.413342,-35.968586,-18.232193,43.832737,-10.413342,-35.967403,-7.36445,43.891556,-10.714907,-36.60321,-2.9706681,38.722195,-2.9706681,40.5103,0.4819,36.4843,-3.5978,-6.5398,68.3046,0,-70.1127,0.9112,-6.529,0,-64.911,0.0199,32.1237,35.822,3.0672,0.6312,-179.11,37.3483,2.2544,0.6431,-40.2457,0.6786,312.6637,1.5948,-6.304,-0.225,-0.684,-1.455,-6.304,-3.722,0,-0.883,-44.883,1.055,0.387,0,-58.364,-43.829,4.276
21,CHEMBL1164373,1,-69.790741,-5.8486772,32.534355,-12.518694,-26.623209,-124.86897,32.533821,-12.518694,-26.626646,-21.866508,32.534313,-12.518694,-26.622929,-7.2692537,32.528126,-11.920604,-27.287386,-3.0626752,16.371796,-3.0626752,1.3396,0,33.9439,-0.6532,-44.6802,66.7041,0,-67.0283,0.645,-6.4343,-0.2835,-62.3977,0.0379,22.2292,22.374,9.00E-04,0.1439,-111.87,28.1085,0.6585,0.0591,-28.8261,0.9779,193.504,1,-5.84,-0.225,-0.665,-1.372,-5.84,-2.363,0,-1.43,-36.146,-2.557,0.161,-0.018,-52.19,-38.703,0.269
22,CHEMBL1164373,1,-68.811882,-6.4047732,18.789009,-10.658276,-33.649448,-116.10049,18.792223,-10.658276,-33.652824,-21.298178,18.78916,-10.658276,-33.649563,-7.1383848,18.855293,-9.9414597,-35.406223,-3.0626752,16.370581,-3.0626752,34.7961,0,42.5767,-0.5603,-23.1865,74.3061,0,-75.5082,0.6142,-6.6864,0,-70.2122,0.067,29.5974,32.4,2.6384,0.1641,-162,34.0741,2.6355,0.2075,-36.9172,0,290.5741,1,-7.358,-0.283,-0.838,-1.728,-7.358,-4.072,0,-1.167,-39.305,-1.837,0.161,-0.04,-59.577,-41.141,0.887
23,CHEMBL1164476,1,-87.835983,-6.5019383,3.8855391,-11.703736,-38.830299,-118.38306,3.8848009,-11.703736,-38.831474,-19.63413,3.8853161,-11.703736,-38.830559,-7.6392183,3.9417498,-10.635132,-39.507751,-3.0014758,-6.9803224,-3.0014758,34.3455,0.6505,39.1741,-7.1067,-13.0628,72.7646,0.32,-72.4203,1.3016,-7.5621,-1.1804,-65.1961,0.145,35.5599,38.46,0.8623,2.0379,-192.3,33.8076,0.489,0.7975,-35.0941,0.9641,255.9155,1.386,-6.893,-0.23,-0.714,-1.566,-6.893,-3.63,-0.174,-0.991,-46.976,-0.39,0.34,-0.031,-62.722,-47.366,7.454
24,CHEMBL1164476,1,-94.1847,-5.6302547,0.20351963,-11.414986,-39.757652,-116.07049,0.20284016,-11.414986,-39.757385,-19.919823,0.20330267,-11.414986,-39.756626,-7.8392286,0.20057689,-10.383264,-40.944679,-3.0014758,-6.9861112,-3.0014758,42.1373,0,37.5614,-7.0549,-2.4547,73.637,0,-74.8243,1.4038,-6.0299,-1.5188,-69.7817,0.0505,33.4142,37.06,2.0424,1.6034,-185.3,37.7983,2.6224,0.2252,-40.6459,0.9895,302.6422,1.386,-7.236,-0.241,-0.749,-1.644,-7.236,-4.197,0,-0.673,-49.546,-1.37,0.34,-0.023,-67.784,-50.915,9.369
25,CHEMBL1164477,1,-84.731476,-5.9138374,-31.61615,-12.601064,-27.218739,-124.00538,-31.616589,-12.601064,-27.219278,-18.87886,-31.615467,-12.601064,-27.219728,-7.1393509,-31.596857,-11.845767,-28.183905,-2.9263444,-43.531628,-2.9263444,-1.441,0,38.1481,-3.64,-50.2546,73.3306,0,-74.1695,0.4231,-8.3249,0,-65.7253,0.0692,29.5015,30.526,0.5728,0.4517,-152.63,30.8113,0.8489,0.359,-32.0193,0.9714,233.3773,1.5666,-7.002,-0.25,-0.759,-1.616,-7.002,-2.354,-0.36,-1.047,-30.086,-12.981,0.378,-0.167,-66.1,-43.067,3.685
26,CHEMBL1164477,1,-108.13702,-5.0398226,-33.75087,-11.684964,-37.105011,-135.12912,-33.743015,-11.684964,-37.107761,-18.69379,-33.7547,-11.684964,-37.097187,-7.3580933,-32.64645,-11.162136,-36.26683,-2.9263444,-43.531345,-2.9263444,31.8127,6.8327,42.7965,-4.1982,-29.667,80.4924,2,-76.6535,1.0829,-8.4011,-1,-69.4691,0.1321,28.9349,33.714,4.3239,0.4553,-168.57,34.9353,4.1371,0.4616,-39.534,0.9967,296.8828,1.5666,-7.825,-0.279,-0.849,-1.806,-7.825,-4.136,0,-1.104,-39.998,-6.15,0.378,-0.04,-71.187,-46.148,6.319
27,CHEMBL1164552,1,-53.579067,-6.8078103,27.866293,-12.300752,-45.219158,-99.149452,27.865669,-12.300752,-45.219021,-19.342072,27.866375,-12.300752,-45.218658,-8.4351683,27.816828,-10.394835,-46.806778,-2.5546045,19.222559,-2.5546045,-50.2655,0,37.863,-11.0175,-91.3096,70.074,0,-82.5249,2.1695,-5.5588,0,-79.1451,1.0751,32.8777,38.238,0.718,4.6423,-191.19,31.1778,0.8369,0.8692,-32.8838,0,277.742,1.9891,-6.695,-0.176,-0.592,-1.444,-6.695,-2.242,-0.335,-0.321,-44.84,-12.576,0.357,-0.026,-80.104,-57.415,15.041
28,CHEMBL1164552,1,-84.864799,-7.1236153,36.644188,-13.605349,-48.437218,-129.88611,36.641949,-13.605349,-48.43811,-21.934095,36.65044,-13.605349,-48.44429,-8.9398994,36.796589,-10.124837,-49.7952,-2.5546045,20.515165,-2.5546045,37.2839,0,45.3982,-10.142,-14.9967,82.1913,0,-82.74,2.2644,-4.5491,0,-80.6648,0.2653,35.3319,40.814,2.7013,2.7808,-204.07,30.4866,2.7095,0.361,-33.557,0,283.496,1.9891,-7.4,-0.195,-0.655,-1.596,-7.4,-3.652,-0.104,-0.372,-51.194,-6.584,0.357,-0.081,-87.591,-57.778,8.099
29,CHEMBL1170621,1,-66.761017,-4.2905869,15.282779,-8.2850208,-22.533825,-78.339088,15.282559,-8.2850208,-22.533888,-15.203587,15.282858,-8.2850208,-22.533901,-5.5609636,15.280843,-9.8283167,-23.200998,-3.120954,14.934895,-3.120954,26.4768,0,29.2306,-0.3598,-13.3555,57.1592,0,-57.252,0.0745,-5.7777,0,-52.8577,0,22.8709,23.636,0.6917,0.0734,-118.18,30.115,0.5385,0.1379,-30.7913,0.1651,233.5022,1,-6.579,-0.387,-0.995,-1.716,-6.579,-2.668,-0.279,-2.003,-25.707,-2.287,0,0,-38.998,-27.995,0.683
30,CHEMBL1173703,1,-63.187016,-3.7186484,28.39694,-9.1510963,-11.320323,-81.114929,28.395994,-9.1510963,-11.320426,-15.281286,28.39695,-9.1510963,-11.320356,-5.3431797,28.402222,-9.651722,-11.477799,-3.120954,15.087933,-3.120954,22.3138,0,26.4888,-0.3598,-13.7485,52.9789,0,-53.021,0.0144,-5.9602,-0.9033,-47.3197,0.0662,24.3377,25.29,0.9481,0.0042,-126.45,28.9477,0.4322,0,-29.3799,0,226.1527,1,-6.153,-0.362,-0.931,-1.605,-6.153,-2.271,-0.205,-2.003,-27.2,-2.088,0,0,-40.196,-29.288,0.661
31,CHEMBL1173704,1,-60.794991,-3.9017062,66.822449,-8.7435722,-21.347008,-80.6092,66.822029,-8.7435722,-21.345877,-12.220183,66.821701,-8.7435722,-21.346991,-5.4377875,66.838829,-9.5799742,-22.296011,-3.120954,66.117531,-3.120954,32.9558,0,24.5399,-0.3597,-0.4268,54.3571,0,-54.633,0.0564,-4.1307,-1,-50.5947,0.0621,22.0002,22.184,0.16,0.0238,-110.92,26.9133,0.7208,0.1002,-27.7342,0.9623,162.7357,0,-6.17,-0.363,-0.933,-1.609,-6.17,-2.28,-0.243,-1.922,-26.783,-1.605,0,-0.144,-39.048,-28.388,0.014
32,CHEMBL1213955,1,-61.535107,-3.3020706,-112.98297,-9.0279808,-31.435434,-90.917191,-112.98318,-9.0279808,-31.437605,-12.780607,-112.98335,-9.0279808,-31.434889,-6.3989587,-113.07429,-9.8932714,-32.912018,-3.111901,-115.56416,-3.111901,38.6803,0,28.5284,-0.672,0.1258,50.7501,0,-50.7969,0.0499,-4.1905,-1.0275,-46.2237,0.0541,22.6073,24.596,1.8056,0.1831,-122.98,25.6905,1.8309,0.0021,-27.5236,1.982,162.8928,1.4198,-6.414,-0.305,-0.843,-1.586,-6.414,-2.243,-0.32,-1.992,-32.977,-2.683,0.201,-0.009,-50.426,-35.66,0.026
33,CHEMBL1222153,1,-61.616856,-6.0775537,-4.4298797,-10.826108,-32.617733,-101.59572,-4.4299326,-10.826108,-32.618477,-18.341946,-4.4299784,-10.826108,-32.617634,-7.1024561,-4.4534397,-9.930172,-32.838581,-3.0597544,-7.0990715,-3.0597544,47.7641,0.3648,35.2168,-1.972,0.9483,62.2655,1,-61.5915,2.2776,-1.0031,-1.8061,-59.2634,0.4563,30.2728,34.324,2.2871,1.7641,-171.62,26.8324,3.1064,1.7462,-31.6849,0.9368,197.2296,0,-4.76,-0.227,-0.625,-1.177,-4.76,-1.288,0,-2.108,-31.264,-0.038,0.215,-0.01,-40.493,-31.302,0.134
34,CHEMBL1222255,1,-75.327957,-5.661397,9.8923798,-14.399751,-19.737602,-130.72362,9.8932343,-14.399751,-19.739157,-17.68766,9.891757,-14.399751,-19.737368,-6.8937631,9.6941042,-11.482445,-20.35504,-2.956295,-8.9861593,-2.956295,30.8453,0.4396,26.6392,-4.8888,-1.3344,36.2111,1.3547,-35.4791,2.5243,-2.7078,-2.1672,-30.0199,0.2824,20.626,27.118,2.5125,3.9795,-135.59,19.2387,4.3091,0.2883,-23.836,1.5126,135.5904,1,-4.901,-0.213,-0.606,-1.185,-4.901,-1.057,-0.298,-1.928,-32.968,-3.279,0.543,-0.02,-50.949,-36.247,2.141
35,CHEMBL204459,1,-78.60997,-6.7712116,97.199516,-12.660675,-32.190315,-111.11299,97.199646,-12.660675,-32.186024,-19.204855,97.199295,-12.660675,-32.189339,-7.6081414,97.252556,-10.908446,-33.009182,-2.9111168,94.057854,-2.9111168,14.72,1.5748,37.183,-4.7725,-33.209,82.4352,0.6338,-86.6061,1.7509,-6.0894,-0.4895,-81.5599,0.0796,37.8423,41.194,0.1115,3.2403,-205.97,33.8788,0.0293,0.6983,-34.6064,0,277.5197,1.306,-8.91,-0.343,-1.015,-2.092,-8.91,-4.495,0,-2.21,-41.356,-5.964,0.757,0,-78.882,-47.32,2.609
36,CHEMBL205437,1,-88.877838,-7.5140586,-101.80019,-12.315681,-44.764961,-126.19457,-101.80049,-12.315681,-44.768448,-22.053185,-101.80017,-12.315681,-44.765011,-7.7824807,-101.76465,-11.067145,-45.379784,-2.9533768,-101.08873,-2.9533768,-19.0955,1.796,40.1553,-8.2883,-67.8167,71.8218,2,-69.9886,1.478,-3.8942,-1,-65.9741,0.114,39.0973,43.316,0.2475,3.9712,-216.58,35.9628,0.1202,0.8278,-36.9109,0,293.4684,1.1347,-8.533,-0.294,-0.904,-1.954,-8.533,-4.117,0,-2.007,-42.246,-6.085,0.617,-0.001,-78.113,-48.331,3.848
37,CHEMBL206115,1,-79.990768,-7.3365617,85.603889,-13.279613,-43.062485,-146.51201,85.603676,-13.279613,-43.065784,-21.589613,85.603889,-13.279613,-43.062191,-7.9930253,85.552895,-12.332202,-43.876781,-2.861891,75.193504,-2.861891,43.9724,0.8766,38.022,-4.7892,-4.3953,78.6119,1,-84.8769,0.8844,-8.1125,-1,-76.6454,0,38.9628,43.208,0.6243,3.6209,-216.04,35.7232,1.2861,1.0367,-38.0461,0.9715,292.0081,1.8921,-9.177,-0.34,-1.02,-2.136,-9.177,-4.168,-0.32,-2.108,-40.627,-8.328,0.7,0,-80.143,-48.955,0.701
38,CHEMBL206249,1,-78.286324,-6.1350555,-109.03111,-11.969594,-38.332745,-126.63051,-109.03128,-11.969594,-38.332855,-22.596907,-109.03004,-11.969594,-38.331566,-8.0721998,-109.04954,-10.959089,-39.700806,-2.904151,-122.46894,-2.904151,-15.4169,1.1517,33.1999,-13.662,-48.5565,85.9332,1,-83.3772,2.3153,-4.2035,-2.8561,-77.6406,0,29.2476,36.53,0.8802,6.4022,-182.65,32.2093,0.6527,3.2859,-36.1479,1.4198,257.4673,1.6398,-7.574,-0.252,-0.784,-1.721,-7.574,-3.621,0,-1.535,-37.777,-6.942,0.574,-0.062,-72.534,-44.719,2.765
39,CHEMBL206249,1,-76.002831,-7.4125714,-113.66289,-13.119233,-44.963551,-137.28711,-113.66682,-13.119233,-44.959389,-21.312946,-113.66624,-13.119233,-44.959755,-7.8398252,-113.61794,-10.555684,-46.323315,-2.904151,-119.92175,-2.904151,-30.1754,3.3851,34.747,-12.9183,-68.4193,77.4366,3,-73.9198,2.2946,-5.8191,-3.7339,-65.449,0.1827,27.5886,33.4,0.839,4.9724,-167,31.1425,0.8041,1.8607,-33.8073,1.8358,225.5867,1.6398,-9.574,-0.319,-0.992,-2.175,-9.574,-4.251,-0.52,-1.813,-42.94,-8.829,0.574,-0.093,-86.368,-51.769,4.548
